#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3404.2325048293064    All      -0.9449181294210092       0.17928668642444023        -0.09806828959321551       0.36181415640755016        
Zeropoint     AB|SDSS|SDSS_z            6413.4425509795365    All      0.1321301735848192        0.02468959521007008        0.07828914191651579        -0.03150324623198257       
Zeropoint     AB|SDSS|SDSS_r            4448.314211135236     All      0.6951489036414308        0.5071880397126804         -0.18392379944358064       -0.0694327115480524        
Zeropoint     AB|SDSS|SDSS_i            5394.358467143207     All      1.1140068844407875        0.2876460945225645         0.20762256543695803        -0.2599076542193355        
Check         All|All|All               All                   All      0.9963678322460285        0.9988104158697553         0.00391961831667767        0.0009705444081796744      
Lambda        AB|SDSS|SDSS_g            3404.2325048293064    All      -0.0013623748312324695    0.00016105454361809872     -0.0016109487119609323     0.0004243418245315702      
Lambda        AB|SDSS|SDSS_z            6413.4425509795365    All      -2.663889813419554e-05    -6.0643323361835445e-06    -1.8453840094610452e-05    5.878302835521291e-06      
Lambda        AB|SDSS|SDSS_r            4448.314211135236     All      -0.0003317094000272297    -0.0001328793477724247     -0.0014122282396575529     1.7442291275961736e-06     
Lambda        AB|SDSS|SDSS_i            5394.358467143207     All      0.00014176160177390885    4.5293120818372574e-05     0.0001030703919841474      -2.6823399756908173e-05    
MWEBV         All|All|All               All                   All      -0.7007084704205939       -2.5746657346612523        0.138563676988515          -0.6042260718218997        
Redshift      All|All|All               All                   All      3.442315868802317         0.7602040537479482         -2.366985881814906         -0.9792797657534238        
