#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3404.2325048293064    All      -0.9990545658095986       0.14564367209395357       0.06122793048148889       0.3755981968662919         
Zeropoint     AB|SDSS|SDSS_z            6413.4425509795365    All      0.10188714286981887       0.02300462073474563       0.05099900850014105       -0.0234187810979003        
Zeropoint     AB|SDSS|SDSS_r            4448.314211135236     All      0.8235661452136308        0.522763090809697         -0.6460938026473295       -0.1268136499565531        
Zeropoint     AB|SDSS|SDSS_i            5394.358467143207     All      1.0694884994425737        0.30705606773206995       0.5326040760182948        -0.22458165253941287       
Check         All|All|All               All                   All      0.9958872217164249        0.9984674513704661        -0.0012627876474047284    0.0007841132724256683      
Lambda        AB|SDSS|SDSS_g            3404.2325048293064    All      -0.0006745136816803182    0.00013585335335932925    0.0005907808196641616     0.0002903270382194259      
Lambda        AB|SDSS|SDSS_z            6413.4425509795365    All      -3.569335690474114e-05    -9.167693558337893e-06    -5.11307584697691e-05     6.358550304900613e-06      
Lambda        AB|SDSS|SDSS_r            4448.314211135236     All      -0.0006817541052409979    -0.0002987209382179365    -0.0028006247449363668    -2.1251564600032013e-07    
Lambda        AB|SDSS|SDSS_i            5394.358467143207     All      1.0026171695009882e-05    1.1884986929356587e-05    0.00019236481288943628    9.18983537465781e-06       
MWEBV         All|All|All               All                   All      -0.8047736878363767       -2.576978381955186        0.04206617407858104       -0.575388152530959         
Redshift      All|All|All               All                   All      3.0357997185243324        1.2422313266874596        -7.366806983697094        -0.9129709930304153        
