#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3967.999468376398     All      -1.1846344676883307        0.3291195085378007         -0.6347598140886646        0.46475305592703076       
Zeropoint     AB|MEGACAMPSF|g           3108.8377795800184    All      -0.30279577558198223       0.04978958577659398        0.15126891839351564        0.1215990889832208        
Zeropoint     AB|MEGACAMPSF|i           4850.47568943442      All      1.9042221793309944         0.5737444962020888         0.39942675796931226        -0.4155557711032931       
Zeropoint     AB|MEGACAMPSF|z           5593.005895438726     All      0.5694025805455785         0.04774201643975573        0.09502304964835173        -0.16568156557133507      
Check         All|All|All               All                   All      0.98619451660626           1.0003956069562392         0.01095891192251508        0.00511480823562338       
Lambda        AB|MEGACAMPSF|r           3967.999468376398     All      -0.0008595653063950714     0.0001451703508083113      -0.0012148914624297165     0.0002730604321988637     
Lambda        AB|MEGACAMPSF|g           3108.8377795800184    All      -0.0007724374641393948     0.0001237840871943665      0.0003268001848955553      0.0003065124353955871     
Lambda        AB|MEGACAMPSF|i           4850.47568943442      All      -0.00046840517955259574    -0.00017119803772920557    -0.0014071662093889292     3.401477887202178e-05     
Lambda        AB|MEGACAMPSF|z           5593.005895438726     All      -7.886845786158109e-05     -1.6100681163433782e-05    -0.00011811931076911685    1.5174407531849613e-05    
MWEBV         All|All|All               All                   All      -0.35596997912263206       -2.1501145052081228        0.1525356056001792         -0.5776049342404777       
Redshift      All|All|All               All                   All      2.5931379770585794         0.5331858840950332         1.1412147161966313         -0.620066995714856        
