#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3967.999468376398     All      -1.2083411787342335       0.3310386483384775         -0.6884108078820973        0.47070604117031395       
Zeropoint     AB|MEGACAMPSF|g           3108.8377795800184    All      -0.3511877346404582       0.05501783611965294        0.1506581569576777         0.13903769976003683       
Zeropoint     AB|MEGACAMPSF|i           4850.47568943442      All      1.960364447402208         0.568584889699153          0.4769728523116934         -0.43206328238969155      
Zeropoint     AB|MEGACAMPSF|z           5593.005895438726     All      0.584992378128452         0.0457999583495905         0.07248355163177707        -0.17239810202127298      
Check         All|All|All               All                   All      0.9858279121559681        1.000441332506874          0.01170375301905087        0.005282356519386244      
Lambda        AB|MEGACAMPSF|r           3967.999468376398     All      -0.0010368522070918478    0.00021528538488498457     -0.0011524930996248788     0.00035643193398313485    
Lambda        AB|MEGACAMPSF|g           3108.8377795800184    All      -0.0009888549694392107    0.0001494907843857803      0.0003455491111002122      0.0003862169322624496     
Lambda        AB|MEGACAMPSF|i           4850.47568943442      All      -0.0003118115782081929    -0.00013311029227797467    -0.0014936451616189882     -8.445635573805584e-06    
Lambda        AB|MEGACAMPSF|z           5593.005895438726     All      -6.051421220910334e-05    -9.97657206163163e-06      -0.00010174657794256263    1.1921289566560464e-05    
MWEBV         All|All|All               All                   All      -0.3480497695142841       -2.1523191359063887        0.146545689025688          -0.5811702302917215       
Redshift      All|All|All               All                   All      2.763950471830923         0.21145654909808798        1.4918619608752022         -0.7648562977501409       
