#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      0.8582170315719664        0.050882331614054976      1.064126456660738          -0.21548839589426394       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.0262581376539464        -0.08670957808334379      -2.2948730391156156        -0.46493984433098684       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -1.0433934612827147       0.9821043900957172        0.28615668639430103        0.6725411457376063         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.35646487094131213       -0.15553052742438567      1.3389784725777243         -0.10702128587053733       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.1871692843419764       0.19338994891091588       -0.3336032466846979        0.10907348158211358        
Check         All|All|All                      All                  All      1.010377294542534         0.9841365651129586        0.060785329832449886       -0.005834898776068326      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      -8.868978735761257e-06    -0.0002482621359404377    -0.0002476066445015002     -8.902777443041758e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.3405328560246933e-05    -3.308177866635408e-05    -0.0007830124708068809     -5.0084630530014245e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.0008654333410946519    0.0008259863906437783     -4.585326287045038e-06     0.0005507464306309789      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.00025961656423904714    -3.547388350810637e-05    0.00044259810272048706     -7.636954647376117e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.0001828625339815653    0.00018771073698702908    -0.00030532482381481974    0.000107082661272301       
MWEBV         All|All|All                      All                  All      -0.73971376845107         -3.8474383017218727       0.14962832204795462        -1.0056108967916069        
Redshift      All|All|All                      All                  All      1.7084301810769928        2.3006604372032946        19.344317738980543         1.0561569336699141         
