#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      1.0229922507586733         0.2584144913138964         2.170576502895427         -0.15218526988537567       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      1.0916913543229012         -0.509549952329369         -2.020389303347958        -0.6117376681468861        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -1.197626105996154         1.0120401478007857         0.18593246956750686       0.7280583068819831         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      0.2619560047260353         0.01623614638051052        -0.5528886116755727       -0.1047119212198952        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.23239069053804065       0.1962909802542434         0.14370981477069833       0.14604883238301947        
Check         All|All|All                      All                  All      0.9466228132734151         0.973431813420067          -0.07305912778989843      0.005472280012845554       
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7150.307524500302    All      -0.00013436815357993317    -0.0003198680191382258     -0.0010770335663553782    -0.00010848647040683369    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5892.41555734888     All      -3.6054611903408576e-07    -0.00015485516741582203    -0.0005139340933792689    -7.325849905203511e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4469.980260929467    All      -0.0005668658884525997     0.0006655457720239682      0.0007062597007931971     0.00043295414966945797     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5202.66602243934     All      7.93087276937065e-05       -0.00014911579336730592    -0.0009953959652827262    -0.00011882533169535697    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4151.556225273326    All      -0.00023957172869218865    0.0001876057237473278      3.653499787878147e-05     0.0001407761391364526      
MWEBV         All|All|All                      All                  All      -0.7713840821908393        -3.8402376898803325        0.10426975612327638       -0.9949735019871675        
Redshift      All|All|All                      All                  All      3.149085725882764          4.086259129023784          24.818450399659664        1.4128016638092489         
