#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.333791873856    All      0.33928981606992664        0.06861626973502233        0.04400709899991239        -0.08620344422537991       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5459.104568738166    All      0.4572597740237052         0.06969002983532313        -0.04596163315742731       -0.12829527294167742       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7502.744997761885    All      0.22334357226277232        -0.03611120054665129       0.04071516311240717        -0.08269602458078953       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6182.851743949737    All      0.6517976017809525         -0.06123103952102582       0.053124793283376985       -0.2298861708866957        
Zeropoint     AB|CNIa02|SDSS_g                      4701.25873136772     All      -0.2887944122266363        0.2912661803836869         0.02906974682821757        0.19024206772827004        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4690.304847430552    All      -0.3765630856705429        0.32227142170908607        -0.06428546231742702       0.22476462509516013        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4354.9997371436      All      -0.2734988347208749        0.16143813480007374        -0.07010191228855969       0.1385449535952495         
Zeropoint     AB|CNIa02|SDSS_i                      7449.630660599078    All      0.18405154588465894        -0.02824412002215837       0.040279139549896786       -0.06735420970308842       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4356.185743811549    All      -0.41362149924357494       0.25552573922364985        -0.049724737376765325      0.21574428320736416        
Zeropoint     AB|CNIa02|SDSS_r                      6143.139751852888    All      0.49404890164042914        -0.04687469946511591       0.02358880266315738        -0.1751439528145578        
Check         All|All|All                           All                  All      0.997313379800816          0.9963467161318906         0.0007109992967889341      -0.00028314552614502886    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.333791873856    All      5.2097029101875504e-05     -1.8634150891629457e-06    -0.00012737171656392385    -2.326070663201825e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5459.104568738166    All      4.2898277745365086e-05     -2.026861347726735e-05     -0.0003371287931134757     -3.5620044260318766e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7502.744997761885    All      -4.642046791312227e-05     1.6448405687174868e-06     -6.165125866670262e-05     1.2905239753909282e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6182.851743949737    All      -8.637312898058451e-05     -5.487250994121114e-06     -0.00010352981696990545    2.1727131290419007e-05     
Lambda        AB|CNIa02|SDSS_g                      4701.25873136772     All      -9.012326066965725e-05     -7.843194098131715e-06     -0.0004849630269706828     5.15965207704951e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4690.304847430552    All      -1.9328292444460997e-05    -6.248125836717214e-05     -0.0006229414356590313     -4.185535589837083e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4354.9997371436      All      -9.808020004098194e-05     3.741704811400133e-05      -0.00014457059327007657    3.768438986220938e-05      
Lambda        AB|CNIa02|SDSS_i                      7449.630660599078    All      -2.639547650103393e-05     1.2334986287052183e-06     -2.9313747256501884e-05    7.69152825915257e-06       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4356.185743811549    All      -0.00014723580565292375    3.341950838837064e-05      -0.00036791372229570815    4.2427079507095236e-05     
Lambda        AB|CNIa02|SDSS_r                      6143.139751852888    All      -1.603169832140767e-05     -7.658938458355709e-06     -8.106625901959794e-05     -8.903314731703439e-07     
MWEBV         All|All|All                           All                  All      -0.8947978538353518        -4.0803420534531565        0.01575359584826152        -1.0369335364777177        
Redshift      All|All|All                           All                  All      4.123093174135388          0.7258053304093792         1.580870048455723          -1.036061448562728         
