#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.333791873856    All      0.31883359082870877        0.061895765006880765       0.05614109445266635        -0.08118778367485757       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5459.104568738166    All      0.48007636018273664        0.06624223417266428        -0.07520762298827144       -0.13815556037767607       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7502.744997761885    All      0.2817922771890943         -0.04076990600525576       0.09552629644105082        -0.10080621517326582       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6182.851743949737    All      0.7419168845896625         -0.0619630869665766        0.15401511635459997        -0.2549771663243189        
Zeropoint     AB|CNIa02|SDSS_g                      4701.25873136772     All      -0.24623355418848286       0.2696329130518649         0.10285213439162888        0.17262449825798074        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4690.304847430552    All      -0.3959827595189542        0.32847884217712675        -0.15622381351274583       0.22900942646411557        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4354.9997371436      All      -0.2599060180718058        0.1489861297368833         -0.09052138094869377       0.1291500712113088         
Zeropoint     AB|CNIa02|SDSS_i                      7449.630660599078    All      0.1681568224424666         -0.02198153407073633       0.07031615544186298        -0.05879643101552694       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4356.185743811549    All      -0.4781927090321797        0.2825595105736767         -0.12528378785277017       0.24221118588600224        
Zeropoint     AB|CNIa02|SDSS_r                      6143.139751852888    All      0.4305561859315401         -0.03476765054322151       0.08302186548054813        -0.14786639768857543       
Check         All|All|All                           All                  All      1.0410170803527865         0.9983132171333065         0.11463605725987591        -0.008794372434813319      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.333791873856    All      5.619874890138468e-05      -5.540912279071576e-06     -0.00014048459211846116    -2.6379820944848677e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5459.104568738166    All      1.2586361232545644e-05     -1.2448737604857052e-05    -0.00043381259245602483    -2.7513818893771368e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7502.744997761885    All      -1.964614763201451e-05     2.5300730963760915e-06     -1.260459400744953e-05     6.661039527482091e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6182.851743949737    All      -5.7177499612660133e-05    2.8381866970274186e-06     -1.786511676677217e-05     1.8751845378710022e-05     
Lambda        AB|CNIa02|SDSS_g                      4701.25873136772     All      2.639148008840753e-05      -5.166324315218443e-05     -0.0005044208532029165     -4.793497724084415e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4690.304847430552    All      -6.11710324368019e-05      -4.765407898025749e-05     -0.0005098425160195303     -1.834901343261604e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4354.9997371436      All      -0.00011400605002881531    3.1311044887496917e-05     -0.00020614833240238079    3.8135105334588294e-05     
Lambda        AB|CNIa02|SDSS_i                      7449.630660599078    All      -5.5481340044122335e-06    8.880447954596084e-07      4.190185818073471e-06      2.2834639273445954e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4356.185743811549    All      -0.00023993054729529127    3.78566948319579e-05       -0.0005521134767497117     6.584615498779761e-05      
Lambda        AB|CNIa02|SDSS_r                      6143.139751852888    All      4.618150993566373e-05      -1.0444033476158417e-05    -1.4980485760988751e-06    -1.8511653441937362e-05    
MWEBV         All|All|All                           All                  All      -0.8837139683404618        -4.081119118469623         0.036428632465712596       -1.0398744063457195        
Redshift      All|All|All                           All                  All      4.721719323909706          0.9307979823614865         4.08304218989648           -1.0526203783493167        
