#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4716.919999746902     All      3.79968433037248          0.6294931856398733        -0.5947952104925935       -1.0591785304788575      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3938.9696075786756    All      -2.8084037822643118       0.37246487182898136       0.6047256057856887        1.0630996944905318       
Check         All|All|All                            All                   All      0.9912805481081687        1.0019580574688547        0.00993039529309514       0.003921164011674305     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4716.919999746902     All      -0.0003107275634094233    -6.954661932192494e-05    -0.0006499963538010734    4.955421616180825e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3938.9696075786756    All      -0.0017881966757454214    0.00013679301852257824    -0.0016937140437724267    0.0005514497948766049    
MWEBV         All|All|All                            All                   All      -0.10664290130738241      -1.9658004377268057       0.03197837411986204       -0.6041617261123786      
Redshift      All|All|All                            All                   All      2.6256188397757687        -0.4642100065643362       -2.5276482394058606       -1.1192562394588625      
