#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4716.919999746902     All      3.885010748067634         0.6423706576256905        0.32286105350619554        -1.0418267511764152      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3938.9696075786756    All      -2.894225354150514        0.359460735242223         -0.32006865100535          1.045549408535832        
Check         All|All|All                            All                   All      0.9907853939171201        1.0018313928679135        0.002792402500845559       0.003722657359416681     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4716.919999746902     All      -0.0003377928134583373    -7.584311278724303e-05    -0.00048137927798209637    6.384388911646485e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3938.9696075786756    All      -0.0017387469630560236    0.00014212381725579266    -0.001456285782444778      0.000547674145966411     
MWEBV         All|All|All                            All                   All      -0.11017151124109414      -1.9660036258787983       0.01876224764912803        -0.6036683018598611      
Redshift      All|All|All                            All                   All      2.489104005634979         -0.4229033859420639       -4.546955655336705         -1.1514463571199256      
