#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4394.35703890484      All      -1.187530233618706         0.5212771287164131        0.2058250244772032         0.5657998015271973        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7559.1098364312675    All      0.5719573267886804         -0.08314637254747126      0.35460877380532335        -0.1975642662295838       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5376.035954388872     All      0.5062145915264561         1.3815804177821356        -0.9012404642439287        0.24491722562028057       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6169.15547597549      All      1.071747078441251          -0.8207440002602873       0.2037625915178456         -0.6073536168285321       
Check         All|All|All                                All                   All      0.9623887631376812         0.9989671736907901        -0.1370440744435566        0.005799144089362107      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4394.35703890484      All      -0.0007043218797128781     0.0002110473424473046     -0.0007447447665454081     0.00026493133196855436    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7559.1098364312675    All      -0.0001079839866329946     0.00010821272364497516    -0.00021922957182397116    6.0639172292536066e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5376.035954388872     All      -6.600714864094976e-05     0.0004754138775878316     -0.001747654714176216      9.836883725949179e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6169.15547597549      All      -0.00023705433636185937    0.00020146812239822104    -0.0007326636818414457     0.00011014577666052194    
MWEBV         All|All|All                                All                   All      -0.827325963760265         -4.053460886428617        0.056213038757851774       -1.0483497512568491       
Redshift      All|All|All                                All                   All      6.119164564690065          -4.514682084774879        7.587755482011279          -3.125187019032378        
