#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           4821.26209404259      All      1.086912332196528          0.26199683179921607       0.2806522357869905         -0.2561778970991838       
Zeropoint     AB|MEGACAMPSF|i           4182.341580437642     All      1.5737040182973583         0.756414066987432         -0.27691851791826294       -0.2785758267963285       
Zeropoint     AB|MEGACAMPSF|r           3419.3315912149665    All      -1.661788518474542         -0.01965697435721836      -0.005822050323269426      0.5346364570759075        
Check         All|All|All               All                   All      0.998827832019344          0.9987539244294297        -0.002088332454541866      -0.0001172668196047777    
Lambda        AB|MEGACAMPSF|z           4821.26209404259      All      -0.00027094891271047883    -7.419147094246975e-05    -0.00033804884226517164    4.9004804683283575e-05    
Lambda        AB|MEGACAMPSF|i           4182.341580437642     All      0.0003037809467164123      0.00010391244648463795    -0.0012570407901117946     -0.0001211997030870001    
Lambda        AB|MEGACAMPSF|r           3419.3315912149665    All      -0.0029005792284746293     -8.399367472971555e-05    -0.0007980597301556808     0.0008818408373659889     
MWEBV         All|All|All               All                   All      -0.4002146783026106        -1.7454461900968          0.03106161781122132        -0.4368000228514828       
Redshift      All|All|All               All                   All      1.1915061114119565         -0.5089492647346816       0.6686804769428216         -0.5240541207835412       
