#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5727.297943311635     All      0.9246558223957195         0.13180157900354317        -1.1010764895708725        -0.30739469787080975      
Zeropoint     AB|SDSS|SDSS_z            6809.279834757649     All      0.19666245367918717        0.03399104903625272        0.49535800141143077        -0.030881875716471805     
Zeropoint     AB|SDSS|SDSS_g            3614.3415277681625    All      -1.1214367636008007        0.3314092467268992         -0.4503418791072376        0.4531430530586346        
Zeropoint     AB|SDSS|SDSS_r            4722.863893420676     All      0.9980694095048793         0.5016585181648381         1.0569348567705645         -0.11453121041122928      
Check         All|All|All               All                   All      0.9979509219789855         0.9988603929315332         0.0008744895038852452      0.00033526906012375235    
Lambda        AB|SDSS|SDSS_i            5727.297943311635     All      -0.00016695877748815172    -2.1499237482196884e-05    0.00040017372770312045     6.523887319260011e-05     
Lambda        AB|SDSS|SDSS_z            6809.279834757649     All      -9.729299700586097e-05     -1.717864017640998e-05     -0.00025135822056536656    1.48789187661224e-05      
Lambda        AB|SDSS|SDSS_g            3614.3415277681625    All      -0.0017944600837212126     0.00044442497234293264     -0.0023241400699467616     0.0006255628229581234     
Lambda        AB|SDSS|SDSS_r            4722.863893420676     All      -0.00021766990149108264    -8.650670560969321e-05     -0.0010899500306313075     -5.91529586811065e-06     
MWEBV         All|All|All               All                   All      -0.6029502508205864        -2.8232275837801524        0.0872157579026468         -0.7193253335918252       
Redshift      All|All|All               All                   All      5.753183728734088          -0.44962552345513274       -2.0639527448819877        -2.112563771413047        
