#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5727.297943311635     All      0.9547877885687165         0.14920861229743565        -0.5938021362395962       -0.2889023025850507       
Zeropoint     AB|SDSS|SDSS_z            6809.279834757649     All      0.2016757382324631         0.034341435956797284       0.4817127686209677        -0.033009658949378906     
Zeropoint     AB|SDSS|SDSS_g            3614.3415277681625    All      -1.2177192816626747        0.30276598865643933        -0.7712192348990232       0.46085610265079735       
Zeropoint     AB|SDSS|SDSS_r            4722.863893420676     All      1.0591211172404729         0.5124532352882127         0.886823717639107         -0.13849284450674348      
Check         All|All|All               All                   All      0.9978653623789778         0.998769272198885          0.0035151151214551923     0.0004512966096242854     
Lambda        AB|SDSS|SDSS_i            5727.297943311635     All      -0.00018288606642217478    -2.5869815168053463e-05    0.0003400125401650778     6.631855676115211e-05     
Lambda        AB|SDSS|SDSS_z            6809.279834757649     All      -6.690457758952898e-05     -1.1468132383358754e-05    -0.0001703896606162687    1.0453766026625868e-05    
Lambda        AB|SDSS|SDSS_g            3614.3415277681625    All      -0.0015735115487961644     0.00034069219815076573     -0.0021892665298895424    0.0005258222255218446     
Lambda        AB|SDSS|SDSS_r            4722.863893420676     All      -0.00027187489286242513    -0.00012104366795627545    -0.0010802949744458813    9.220890576755465e-07     
MWEBV         All|All|All               All                   All      -0.6340531591040701        -2.8189763850827276        0.0756010412344632        -0.7083276492930085       
Redshift      All|All|All               All                   All      5.2730979938903975         -0.03682360087466918       -2.532823824172059        -1.8426444490803384       
