#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8382.318808534745     All      0.23647455238958337        -0.06528803001915051       -0.08492116019784834      -0.10208364213545248       
Zeropoint     AB|PS|PS_r                6021.852601308498     All      1.0515798913108427         -0.08191473154992579       -1.38929894766453         -0.4312145207461919        
Zeropoint     AB|PS|PS_i                7293.767693155635     All      0.780374282449865          -0.058906662008073596      1.2930716590381697        -0.21567756585332554       
Zeropoint     AB|PS|PS_g                4741.8696909289565    All      -1.0689137190061522        1.206120104948738          0.1965099512735713        0.7498226994395341         
Check         All|All|All               All                   All      0.9995150071441388         1.000010681371588          0.015361502449362519      0.0008469707045641872      
Lambda        AB|PS|PS_z                8382.318808534745     All      0.00015356413974459965     -3.421298324350404e-05     2.4181313242444642e-05    -6.0086085691820454e-05    
Lambda        AB|PS|PS_r                6021.852601308498     All      -0.00014781921188246246    -2.2753198907068544e-05    -0.0005694006394282875    1.5328379600559783e-05     
Lambda        AB|PS|PS_i                7293.767693155635     All      -0.00026358792363903       1.6423473502035837e-06     -0.0006312694109656919    5.822357058206311e-05      
Lambda        AB|PS|PS_g                4741.8696909289565    All      -0.00018411274567233768    -0.00013593868819537227    -0.0025248189813442605    -9.697919966358251e-05     
MWEBV         All|All|All               All                   All      -0.6968946527489446        -3.99285488380432          0.12959434401463854       -1.0678194807574495        
Redshift      All|All|All               All                   All      5.015069698604766          1.9458445074662656         19.35482919160697         -0.1360304859571157        
