#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4834.1283148921275    All      3.9380208529099345        0.5480201150721342         0.7643559192564653        -1.0701250739086856       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4036.8470341912366    All      -2.9439880745904095       0.45402955847109183        -0.7714212911576035       1.0724211453331953        
Check         All|All|All                            All                   All      0.9940327783195254        1.002049673543226          -0.007065371901138207     0.002296071424509716      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4834.1283148921275    All      -0.0006854940816455312    -0.00012932159511192863    -0.0006048199747912954    0.000154173338758044      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4036.8470341912366    All      -0.0014173079591975474    0.00012520578095806049     -0.0011207671128220919    0.00045243278361530335    
MWEBV         All|All|All                            All                   All      -0.062438208125982664     -2.0494681794470893        0.01543791627333091       -0.6465521097041238       
Redshift      All|All|All                            All                   All      3.06569131054359          0.17642039986096592        1.8982108089563021        -0.8564221595620882       
