#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4834.1283148921275    All      3.958946376940252         0.5153712826938772        0.39932949193260125       -1.1038654572806543       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4036.8470341912366    All      -2.966025624339091        0.4868082727160328        -0.4005700284529127       1.1068259945137051        
Check         All|All|All                            All                   All      0.9929207526011614        1.00217955540991          -0.0012405365203114194    0.002960537233050786      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4834.1283148921275    All      -0.0004621101702335515    -9.714476783083683e-05    -0.0006028756528053529    9.197766709067795e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4036.8470341912366    All      -0.001565101752069374     0.00013668286263738153    -0.0016856965036702338    0.00047910234322603697    
MWEBV         All|All|All                            All                   All      -0.05906445418127859      -2.049213075448364        0.026757819411360212      -0.6470628013054492       
Redshift      All|All|All                            All                   All      3.5491758971361036        0.005397613025337478      1.9116688715090728        -1.0690161722195515       
