#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5351.509790315625    All      1.1273785723207197         0.46256120919467847       0.17935861698205047       -0.20854893570016297       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6060.992461894721    All      1.2542377731295418         -0.17572923377917604      0.3471571894156845        -0.45029526773901274       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4270.328652420246    All      -1.0018776577789037        0.5112319535148124        -0.7063431485252663       0.46134872962402435        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4597.862523888451    All      -0.5505671560112686        0.28405013176797667       0.47366121818934626       0.292999633443383          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7354.871628525141    All      0.15995863336414956        -0.09381355608466535      -0.3227895387573435       -0.09706656555653778       
Check         All|All|All                      All                  All      0.9891301650242388         0.9883005046136262        -0.028955662695528517     -0.0015624059283061709     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5351.509790315625    All      4.698667735157092e-06      8.098486973713844e-05     -0.0009452329234137693    -1.7332478340620544e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6060.992461894721    All      -0.0002532325873835698     2.4169706350042918e-05    -0.0005697214123439044    6.49350033363185e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4270.328652420246    All      -0.0001758397449843572     7.928838313666144e-05     -3.444426047151196e-05    8.156653564704283e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4597.862523888451    All      -0.00019128077118059264    3.199898874396791e-05     -0.0007564011521451761    3.897485409793857e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7354.871628525141    All      8.652131899437889e-05      -5.021751557322692e-05    -0.0001697393469299393    -5.211502446156596e-05     
MWEBV         All|All|All                      All                  All      -0.887578870867995         -3.9818571355988652       -0.06790113279764182      -1.0109383452521652        
Redshift      All|All|All                      All                  All      3.315827934059257          -1.0881102864860104       -0.9664587329663805       -1.4776361781634078        
