#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5351.509790315625    All      1.0676920457940997         0.46115285507921655       -1.375201774120871        -0.25893870806822233      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6060.992461894721    All      1.2095768398630928         -0.1405704962018639       0.5109926695050504        -0.41698414994878336      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4270.328652420246    All      -1.0833846893602241        0.517669995964809         -0.943939727955101        0.4793924894446855        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4597.862523888451    All      -0.4811836544894386        0.2603875646192577        1.2938349887399392        0.29929205621044563       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7354.871628525141    All      0.2765949593553398         -0.11144241852418801      0.49993241151637946       -0.10408685260644424      
Check         All|All|All                      All                  All      0.9892955011628695         0.9871975009372314        -0.014381432314602982     -0.0013251649683188038    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5351.509790315625    All      -0.00011202267314817052    3.71762492864637e-05      -0.001167112379161605     -3.483867592998595e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6060.992461894721    All      -0.0005678768109585012     5.298576331910848e-05     -0.0018411316654679578    0.00012007411599625389    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4270.328652420246    All      -5.820254318643173e-05     5.173305822384167e-06     0.0001612006840261736     2.7837245185798596e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4597.862523888451    All      -0.00019408147195093816    1.5121575090181297e-05    -0.0016533573723627978    -5.637430935695068e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7354.871628525141    All      0.0001224475600017301      -4.917624506314477e-05    0.0002195200715600533     -4.610734699060182e-05    
MWEBV         All|All|All                      All                  All      -0.8738487955084628        -3.9823038931428023       0.04245649373704197       -1.0106314521147768       
Redshift      All|All|All                      All                  All      3.9454111680851756         -0.4797881799730952       2.1949908290116893        -1.3434806529262766       
