#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4548.070320860878    All      1.5392048989921348         0.5502713058241682        0.3337787107895964         -0.30723319537126775       
Zeropoint     AB|MEGACAMPSF|r           3720.026599037135    All      -1.9012909567579854        0.26978751863175887       -0.2855105843461998        0.694450659718018          
Zeropoint     AB|MEGACAMPSF|z           5244.243973393752    All      1.361821654788553          0.17888964364853877       -0.047319553000453665      -0.38743152765507377       
Check         All|All|All               All                  All      0.9997355970227022         0.9989484681044658        0.0009485734429429543      -0.00021406330832351994    
Lambda        AB|MEGACAMPSF|i           4548.070320860878    All      -0.00036422283253589833    -0.0001791989168301834    -0.0019023999652125366     -2.4626996589056214e-05    
Lambda        AB|MEGACAMPSF|r           3720.026599037135    All      -0.0030803315588931145     0.0003195397961793453     -0.0018557974002996987     0.0010246342381861242      
Lambda        AB|MEGACAMPSF|z           5244.243973393752    All      0.00032226601793996335     3.4316612876084445e-05    -5.4011320642889954e-05    -9.620487165861722e-05     
MWEBV         All|All|All               All                  All      -0.14397095848841301       -1.9696098468644507       0.013871776723359997       -0.5940516139950937        
Redshift      All|All|All               All                  All      7.983926331339793          0.5178144181790856        1.096034059330634          -2.3830473117369415        
