#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7354.313981737016     All      0.8987256096181324         -0.12655455960084439      2.1343074063297265         -0.23872314480514797       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      -0.018123183467934734      0.5372495237772057        -2.1680549557253777        0.08415282681132367        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4299.2783020414345    All      -0.8109471470358058        0.7229293992006447        1.3058623488108907         0.5579086931672778         
Zeropoint     AB|CNIa02|SDSS_r                      6064.539388209487     All      0.9249478501474443         -0.1351202282128483       -1.2777567322935066        -0.40231946276368175       
Check         All|All|All                           All                   All      0.994603129261836          0.9985041351641577        -0.005641932878267086      0.0010189124097716995      
Lambda        AB|CNIa02|SDSS_i                      7354.313981737016     All      -0.00027021178436762724    4.547300109462185e-05     -0.0005852191309681239     7.671327834515183e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      -9.903353288635399e-05     4.479453230146374e-05     -0.0014995855641202174     -2.0070083744837805e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4299.2783020414345    All      -0.00026538596993273063    0.00016512039492620745    -0.00010524469202817989    0.00013553349903943891     
Lambda        AB|CNIa02|SDSS_r                      6064.539388209487     All      -8.520408769968095e-05     1.5734294361462995e-05    0.00014077011372526992     3.916087545325926e-05      
MWEBV         All|All|All                           All                   All      -0.8116245592096583        -4.013645534927157        0.3579071112765438         -1.027031824583913         
Redshift      All|All|All                           All                   All      5.95565336780693           -1.273888846424942        0.726229872088879          -2.3224914403113015        
