#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7354.313981737016     All      0.8433571183193299         -0.10703100426834311      2.0444185402887727        -0.2183396685889613        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      0.04262143576285521        0.5016775984314492        -2.272029853345192        0.048139437381206074       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4299.2783020414345    All      -0.8705983656544318        0.7416627638308526        1.230224779684419         0.5800657733882899         
Zeropoint     AB|CNIa02|SDSS_r                      6064.539388209487     All      0.9789032169709575         -0.1372560578003501       -1.0091805992160752       -0.40860489148661566       
Check         All|All|All                           All                   All      0.9942834053987109         0.9990533001936086        -0.006567132588075619     0.0012606506939190076      
Lambda        AB|CNIa02|SDSS_i                      7354.313981737016     All      -0.00030601835214643324    4.157383291276243e-05     -0.0007732383558982256    7.871613364857941e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5378.623345002978     All      -9.941977927343748e-05     1.5901466786685076e-05    -0.0017537816506527448    -4.0699296442769886e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4299.2783020414345    All      -0.00023559540521999575    0.00013604890836551293    -0.0001453245433205028    0.00011457161275263837     
Lambda        AB|CNIa02|SDSS_r                      6064.539388209487     All      -0.0001700841083154447     1.7800089330681753e-05    6.354644427372255e-05     6.403585032952002e-05      
MWEBV         All|All|All                           All                   All      -0.8250736719784908        -4.009542516457554        0.330912799118388         -1.0225191501628157        
Redshift      All|All|All                           All                   All      6.309937439988878          -0.9390587676387341       3.326333267291126         -2.2127975732927454        
