#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5292.2548914718445    All      0.48612527196044014        0.4481756509107093        -0.14733183733107724       -0.018936183310777968     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4375.90700978563      All      -1.2287261788370158        0.8173229311255525        0.0216467065371595         0.6674315012241562        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7751.40076382975      All      0.5044676621440087         -0.10499564053176869      0.18525874663349873        -0.19025500142898638      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6256.060218123273     All      1.2359865541007469         -0.1624799061278992       -0.060622526628956175      -0.45823183921068833      
Check         All|All|All                       All                   All      0.9978533093681798         0.998023035376594         -0.0010489107893751903     8.477273703511035e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5292.2548914718445    All      5.360197054799445e-05      3.9597583271169225e-05    -0.0011731835392711609     -5.691548278728804e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4375.90700978563      All      -0.0005848284394327492     0.00015651451136383847    -0.0010724682388614031     0.00019362045670116463    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7751.40076382975      All      -6.336804913484259e-05     2.1429138924306765e-05    3.3562928355337504e-05     2.911899323903277e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6256.060218123273     All      -0.00028468355397939376    4.590368027652862e-06     -0.00022741695519143293    8.40774590051532e-05      
MWEBV         All|All|All                       All                   All      -0.8337342758165343        -4.025731085828799        0.040161162336582734       -1.037946166375294        
Redshift      All|All|All                       All                   All      4.162088936069042          0.22551390300868945       2.5431591129907005         -1.1687824868340801       
