#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5292.2548914718445    All      0.4858370630684543         0.4653665347335689        0.00810708270788751       -0.006306142672281682      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4375.90700978563      All      -1.1891221002389343        0.7775512859081957        -0.09333328966858463      0.6364451874470795         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7751.40076382975      All      0.4165172412827481         -0.08132525738737684      0.1949056557548546        -0.15346593610153417       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6256.060218123273     All      1.2853097628540153         -0.16375351758881607      -0.10871626328999262      -0.47685909072102944       
Check         All|All|All                       All                   All      0.9985419669662834         0.9978390456655717        0.0009631855041648679     -0.00018598204776582028    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5292.2548914718445    All      4.42928962038341e-05       4.4009496951893134e-05    -0.0012833771905840373    -5.736354213744433e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4375.90700978563      All      -0.0005655866571945285     0.00015456782417252787    -0.0010373661378408447    0.00018828512067845625     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7751.40076382975      All      -6.619250629997608e-05     1.6870572454812434e-05    5.072827127502581e-06     2.7282754420604683e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6256.060218123273     All      -0.00031571254940497963    1.0994526143088235e-05    -0.0003085140838455667    9.265167624144146e-05      
MWEBV         All|All|All                       All                   All      -0.8186937324381449        -4.028675158651396        0.04414635918506901       -1.0436265065162529        
Redshift      All|All|All                       All                   All      4.106242333006037          0.21462828031753034       3.417820113278525         -1.1151051130844785        
