#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4734.334650104934    All      -1.1532234267872548        1.1560565697243952         -0.34757541207347886      0.736697773634392          
Zeropoint     AB|PS|PS_r                6012.283610985144    All      1.2263683626066002         0.1291356359717888         0.7690814295530708        -0.32308422501173967       
Zeropoint     AB|PS|PS_i                7282.177573453695    All      0.6486535157254678         -0.2258776259101758        -0.6190984253582243       -0.3124910833582151        
Zeropoint     AB|PS|PS_z                8368.998932928902    All      0.27713432978396957        -0.06016319849146967       0.20031267057955957       -0.10092986723323764       
Check         All|All|All               All                  All      0.9989327813287827         0.9991513812945385         0.0027202627009271507     0.00019259803119960062     
Lambda        AB|PS|PS_g                4734.334650104934    All      -0.0004103519401170249     0.00011717081306361567     -0.0007393409209975221    0.00013883812605992835     
Lambda        AB|PS|PS_r                6012.283610985144    All      -0.00016013679773661642    -1.9660640154766044e-05    -0.0005375520208746491    2.176922824821611e-05      
Lambda        AB|PS|PS_i                7282.177573453695    All      -0.0001277886218382449     -0.00019499561274219032    -0.0019262391809553889    -0.0001078507357312162     
Lambda        AB|PS|PS_z                8368.998932928902    All      0.00034279957589817775     -7.48397737069577e-05      0.0002183075424481609     -0.00012629681312369297    
MWEBV         All|All|All               All                  All      -0.7021734460937537        -4.011150134258212         -0.07795730378757923      -1.0813214458577711        
Redshift      All|All|All               All                  All      5.945460438850602          0.4411855549013133         2.538823946288524         -1.6796273626409643        
