#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4734.334650104934    All      -1.1653748511246658        1.0985694803671286        -0.5477757044414278       0.7129964364766511         
Zeropoint     AB|PS|PS_r                6012.283610985144    All      1.2643909413330587         0.14907943704125515       0.899304374665133         -0.32316182572074276       
Zeropoint     AB|PS|PS_i                7282.177573453695    All      0.645279286346987          -0.19704838793233037      -0.567030495305415        -0.29967780199874894       
Zeropoint     AB|PS|PS_z                8368.998932928902    All      0.2503147549768786         -0.046362163657587274     0.2271199387770706        -0.08650211303648445       
Check         All|All|All               All                  All      0.9946101315322584         1.0042383658184661        0.01161811369536081       0.0036546957206749775      
Lambda        AB|PS|PS_g                4734.334650104934    All      -0.00032876587727663406    4.2464904563815025e-05    -0.0008418246603931268    8.335531054286341e-05      
Lambda        AB|PS|PS_r                6012.283610985144    All      -0.00031292281803359283    3.190333924222874e-06     -0.0007205110294750831    7.081535534844603e-05      
Lambda        AB|PS|PS_i                7282.177573453695    All      -0.00017038345431087389    -0.0001938181385194631    -0.0020095346306687684    -9.730974873296761e-05     
Lambda        AB|PS|PS_z                8368.998932928902    All      0.00034451750231544897     -6.720326387268893e-05    0.0002568193176665399     -0.00012265033213935568    
MWEBV         All|All|All               All                  All      -0.6989941986278221        -4.009227549742178        -0.07952242215170657      -1.081800626367798         
Redshift      All|All|All               All                  All      6.2243342471161425         0.532406389700224         1.5983581758768073        -1.7827207776289238        
