#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3330.152885238557     All      -0.3787977077726118       0.10307873805714962       -0.06621673046948069       0.15400806311252202        
Zeropoint     AB|MEGACAMPSF|r           4247.6175978227875    All      -0.8634556704704269       0.5504922519698141        -0.009171323830558947      0.4601600817835357         
Zeropoint     AB|MEGACAMPSF|i           5194.282328748934     All      1.3610713852412064        0.33697873783680166       -0.05278427726649989       -0.3359361867719594        
Zeropoint     AB|MEGACAMPSF|z           5982.477037653881     All      0.8682067230487066        0.010053238918672491      0.12918325759793872        -0.27376396672283926       
Check         All|All|All               All                   All      0.9870247300468744        1.0006029667824379        0.0010109260313991841      0.004467991401258975       
Lambda        AB|MEGACAMPSF|g           3330.152885238557     All      -0.0007980959156152746    0.00019661597450271705    -0.00032052795829702174    0.0003097066970134527      
Lambda        AB|MEGACAMPSF|r           4247.6175978227875    All      -0.0004826218498421989    8.685859386244236e-05     -0.0012519163948666932     0.00012963123700583204     
Lambda        AB|MEGACAMPSF|i           5194.282328748934     All      0.00040009223503549205    -1.588501848479059e-05    -0.0018168102349736318     -0.00021657337319598382    
Lambda        AB|MEGACAMPSF|z           5982.477037653881     All      -0.0002690883262207506    -8.236904652635567e-06    -0.0001339545839919213     7.89901119091928e-05       
MWEBV         All|All|All               All                   All      -0.36148037755636464      -2.3981639259272214       -0.007247605539426161      -0.6637382639510613        
Redshift      All|All|All               All                   All      4.333941881722565         -0.11346860951739757      1.8860797576602022         -1.364500835322643         
