#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3330.152885238557     All      -0.29921927068777965       0.08638633370754434        -0.07005848531600467      0.12247804296645973        
Zeropoint     AB|MEGACAMPSF|r           4247.6175978227875    All      -0.8845927397972808        0.5418641428892812         0.0013510367554925296     0.46470422629383207        
Zeropoint     AB|MEGACAMPSF|i           5194.282328748934     All      1.2510144051910623         0.3782555727500636         0.014196060649318554      -0.283652759652131         
Zeropoint     AB|MEGACAMPSF|z           5982.477037653881     All      0.9251340687470633         -0.006940972846969373      0.0557829231708995        -0.3011181697458044        
Check         All|All|All               All                   All      0.9923364634530653         0.9995650764999198         0.0012715352597059137     0.002411339862356421       
Lambda        AB|MEGACAMPSF|g           3330.152885238557     All      -0.0005320063041192745     0.0001696331937725414      -3.130369655668239e-05    0.00022715012751255715     
Lambda        AB|MEGACAMPSF|r           4247.6175978227875    All      -0.0004701885671200036     3.193444192946336e-05      -0.0014487680779600193    9.890611803548676e-05      
Lambda        AB|MEGACAMPSF|i           5194.282328748934     All      0.00020287376931269163     -2.235711025396741e-05     -0.002110613584950593     -0.00016755209794947566    
Lambda        AB|MEGACAMPSF|z           5982.477037653881     All      -0.00034678722905627393    -1.2564613881707902e-05    -0.0002259770688742689    9.878298265107205e-05      
MWEBV         All|All|All               All                   All      -0.36703777495879253       -2.3954519563847754        -0.02308032177202879      -0.6617512004914499        
Redshift      All|All|All               All                   All      4.077632821071561          0.017648757279786764       0.9019185590290579        -1.2822218961579133        
