#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3956.3766572770223    All      -1.9632674996928237      0.31036013358498593       -0.011377618010801723      0.7400875894496188         
Zeropoint     VEGAHST|ACSWF|F850LP           4647.030053704448     All      1.4157693903035238       0.7395300139329208        -0.3154021099581472        -0.23434836007650464       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      1.5580546004175864       -0.049784453036672005     0.3203873757674635         -0.5094286589492234        
Check         All|All|All                    All                   All      1.0105564910282865       1.0001056944812348        -0.0063923522014854295     -0.003689429576109182      
Lambda        VEGAHST|ACSWF|F775W            3956.3766572770223    All      -0.002535066864515607    0.00039118788523747835    -5.2398074075260156e-05    0.0009508391575259852      
Lambda        VEGAHST|ACSWF|F850LP           4647.030053704448     All      0.0003355443936344509    -0.0001901898882058221    -0.0041007174676444234     -0.00035424513840637105    
Lambda        VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      0.0002794781298364907    -7.011068811160052e-06    6.375264533015429e-05      -9.047396945844287e-05     
MWEBV         All|All|All                    All                   All      0.0016100228735993483    -1.5630894157236952       -0.02226928873384877       -0.5106678603106944        
Redshift      All|All|All                    All                   All      2.7654291814028436       1.174472510173885         5.38012264339419           -0.2781367651739265        
