#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3956.3766572770223    All      -1.8229336507484981       0.42283797477384866       0.4539024377278378        0.7517772832218439         
Zeropoint     VEGAHST|ACSWF|F850LP           4647.030053704448     All      1.4601438320535023        0.6323398652877898        -0.4489169273863447       -0.28967608658555105       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      1.3738825443989797        -0.05684886891685892      -0.004286325175106853     -0.4662275699885435        
Check         All|All|All                    All                   All      1.011092725703984         0.9983289711447796        0.0006991851663862292     -0.004126373352250634      
Lambda        VEGAHST|ACSWF|F775W            3956.3766572770223    All      -0.0023839865412842143    0.0002739061934224431     -0.0004536500973710222    0.0008455187854615073      
Lambda        VEGAHST|ACSWF|F850LP           4647.030053704448     All      0.0003318072031568988     -0.0002016087272714603    -0.0031430917014991923    -0.00031401286434324055    
Lambda        VEGAHST|NICMOS2|F110W_faint    5939.072449804996     All      0.00034773906932893713    -4.46592002449489e-07     4.806706108125852e-05     -0.00011127051269161376    
MWEBV         All|All|All                    All                   All      0.0004424731102186108     -1.561993553292318        -0.002920494456848388     -0.5090671446720276        
Redshift      All|All|All                    All                   All      2.5149692025303367        1.370628302719723         4.9708586134897255        -0.15092288917345972       
