#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8241.13889631384      All      0.35246155318976674        -0.09929213294421757      0.3167015514978486        -0.13301810214292478       
Zeropoint     AB|PS|PS_i                7170.921794997846     All      0.7832997931391273         -0.1665776088130677       1.0040049093803805        -0.2646021919762485        
Zeropoint     AB|PS|PS_g                4662.0043503209745    All      -1.0432948984164006        1.084749068947044         0.492925926332077         0.7151709509025861         
Zeropoint     AB|PS|PS_r                5920.429040468229     All      0.905708420498195          0.17974442606076835       -1.8220812407179743       -0.3177814737510714        
Check         All|All|All               All                   All      0.9981748684106886         0.9986237532505271        -0.008448853507668108     -0.00023081696765864246    
Lambda        AB|PS|PS_z                8241.13889631384      All      0.000247371581556645       -6.039123653662571e-05    0.000263378839294805      -8.849508700647636e-05     
Lambda        AB|PS|PS_i                7170.921794997846     All      -0.00045086200736327374    0.0001036223168514482     -0.0016827161805877905    0.00010552189168540541     
Lambda        AB|PS|PS_g                4662.0043503209745    All      -0.0002761033969209602     1.9554046360556324e-05    -0.0009579946691909704    5.355445394213473e-05      
Lambda        AB|PS|PS_r                5920.429040468229     All      -0.0002242820752015129     2.7331068976627012e-05    -0.0013566250754698578    2.1418732520771787e-05     
MWEBV         All|All|All               All                   All      -0.6511371621476187        -3.9309351885065347       0.18742457497271472       -1.0599742213640566        
Redshift      All|All|All               All                   All      7.5707262056665385         -0.9518083548285539       19.102054618909598        -1.9236329243337063        
