#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8241.13889631384      All      0.3298843403217089         -0.09886688893212536       0.1440338283661191        -0.13323081262790748      
Zeropoint     AB|PS|PS_i                7170.921794997846     All      0.787453178311279          -0.16628202076907073       0.939484263185153         -0.26873806352572766      
Zeropoint     AB|PS|PS_g                4662.0043503209745    All      -1.090906670365616         1.109612073557642          0.3003076891636036        0.7301827027161798        
Zeropoint     AB|PS|PS_r                5920.429040468229     All      0.9610383469604983         0.14865864003619222        -1.3594165519672963       -0.3252833141836566       
Check         All|All|All               All                   All      0.9874691952278701         0.9931218038926382         0.024409228747579448      0.002930512378888084      
Lambda        AB|PS|PS_z                8241.13889631384      All      0.0002494932350607038      -6.597894096514144e-05     0.0003903712888789414     -8.533918874574275e-05    
Lambda        AB|PS|PS_i                7170.921794997846     All      -0.0004982283382765955     0.00010891098980635049     -0.0017836952708134895    0.00011816712572687228    
Lambda        AB|PS|PS_g                4662.0043503209745    All      -0.0002724776253912336     6.214610260975581e-06      -0.0008530707870973787    5.271059863839357e-05     
Lambda        AB|PS|PS_r                5920.429040468229     All      -0.00023547932817399137    -1.4957452280813146e-05    -0.0010707458925968468    2.4048758504042403e-05    
MWEBV         All|All|All               All                   All      -0.6774593745795068        -3.9220875633778185        0.08225901432294958       -1.0532113041811295       
Redshift      All|All|All               All                   All      8.436271554881797          -0.8745272231055701        16.44105550124275         -2.299144682187984        
