#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3942.535069227286    All      -1.0091545413699499       0.6290533444671453         0.12107523767074192        0.5390212356345234         
Zeropoint     AB|SDSS|SDSS_i            6247.354551290152    All      1.1306755999807747        0.08511793097838449        0.40936845609384553        -0.3223042965855158        
Zeropoint     AB|SDSS|SDSS_z            7427.583790425962    All      0.13797334953710397       0.008979232590000663       0.12992503160759625        -0.03621967023350574       
Zeropoint     AB|SDSS|SDSS_r            5151.714740830295    All      0.73892768029046          0.2759761164609742         -0.6560239471645285        -0.1800738907462626        
Check         All|All|All               All                  All      0.9984220884383889        0.9991266244965047         0.00434477820765522        0.000423378069239283       
Lambda        AB|SDSS|SDSS_g            3942.535069227286    All      -0.000923428397006025     0.0004121031962471412      -0.0013744575002547714     0.0003736908520254927      
Lambda        AB|SDSS|SDSS_i            6247.354551290152    All      -0.0002129650202546218    -3.436983072117544e-05     -0.00018559145259801124    4.989223469951754e-05      
Lambda        AB|SDSS|SDSS_z            7427.583790425962    All      -2.583363057183671e-05    -1.3937208142960533e-06    -2.176878026179843e-05     6.9894419744867335e-06     
Lambda        AB|SDSS|SDSS_r            5151.714740830295    All      0.00015265876131797667    7.436203495828451e-05      -0.0004988653888918479     -4.7765890761522913e-05    
MWEBV         All|All|All               All                  All      -0.5735292351792869       -3.2277334334148478        0.10327038157355935        -0.8599531452638381        
Redshift      All|All|All               All                  All      4.424193443556984         0.254833539825583          -5.4731608808207           -1.6023397213041815        
