#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5238.859003370976    All      3.287935517398058         0.21485987559879405       0.45706914605143645       -0.9806049409740121        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4187.560904701123    All      -2.2893401334644685       0.7862165811310717        -0.46141682096192405      0.9812190912455234         
Check         All|All|All                                All                  All      0.998595383933589         1.0010764567298658        -0.004347674910487598     0.0006141502715113489      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5238.859003370976    All      0.0006829668273254334     -3.977545507478517e-05    -0.0006069221498420416    -0.00026250508694741965    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4187.560904701123    All      -0.0012079611133368603    0.0002675290820724873     -0.0019889692409633974    0.00039185713661151866     
MWEBV         All|All|All                                All                  All      -0.8546439924106002       -3.8690883026990974       0.025235674320889245      -0.9807775318913796        
Redshift      All|All|All                                All                  All      5.749104509831144         -0.43714527767537703      4.9635908697161835        -1.7935628137965487        
