#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5238.859003370976    All      3.2437753430096423       0.2151471005347183        0.2735714844545796        -0.9743156186008621       
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4187.560904701123    All      -2.2447419890265703      0.7860238264276731        -0.2752985990917724       0.9749348232503814        
Check         All|All|All                                All                  All      0.9990333539830718       1.0011709269623914        -0.0017271146371927726    0.000619204649519256      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5238.859003370976    All      0.0007668323462524486    -5.407943890212512e-05    -0.0007134271103489487    -0.0002992349509030553    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4187.560904701123    All      -0.001116068789526295    0.0002310144642443606     -0.0018518988515339226    0.00035614759319560534    
MWEBV         All|All|All                                All                  All      -0.8635175466520719      -3.86656203097262         0.012999709686662878      -0.9776102684343569       
Redshift      All|All|All                                All                  All      3.6851071431372047       -0.11363700034507929      1.9629580259428658        -1.1497781413446617       
