#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1 5389.716290013241 All -0.31259702638230147 1.3398281475136047 -0.16485484092372626 0.5308925279118423
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1 7566.573072343347 All 0.3026748760881911 -0.13836333970759096 0.023329188860847783 -0.1426195820592332
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1 4358.164578811937 All -0.5046147241059864 0.2653897045056919 -0.10615122169813285 0.24607873330261698
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1 6210.646942796864 All 1.2375872659877316 -0.5138169439353266 -0.10688358572254897 -0.5752596941912207
Check All|All|All All All 0.7230503915876347 0.953037568376379 -0.3545604594835603 0.05909198496400536
