#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5389.716290013241    All      0.4841444210732704        0.64357946774658          -0.10269701671006673       0.04735034377329983       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7566.573072343347    All      0.4111676118576945        -0.1510634697889479       0.11265398572299985        -0.17810993016371057      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4358.164578811937    All      -1.158638448518214        0.7439936281241621        -0.08719643366592622       0.615858685742718         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6210.646942796864    All      1.2610810096391052        -0.2373248307203646       0.07626584689963026        -0.4846766838222217       
Check         All|All|All                                All                  All      0.9977545940518564        0.9991847953614297        -0.0009736177533628404     0.00042241553008554034    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5389.716290013241    All      8.084069635805717e-05     0.0003823296545233711     -0.0014183244306256223     3.491156715622269e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7566.573072343347    All      -9.686884280011038e-05    3.3041465793135824e-05    -0.00014897311790235186    3.566807538782541e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4358.164578811937    All      -0.0007690952824057168    0.0003907006552542294     -0.00041978589779769284    0.0003590505764370236     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6210.646942796864    All      -0.0002895169092307834    8.302084955590672e-05     -0.0006526673711136397     9.222225698505586e-05     
MWEBV         All|All|All                                All                  All      -0.88340598607655         -4.072777714353659        0.013988049716661689       -1.038259076698999        
Redshift      All|All|All                                All                  All      7.003079520974918         -1.9411638385801844       5.129347734493725          -2.6845350879249064       
