#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          4055.8977722797895    All      -0.8188379355366014        0.6581734803411621        0.11037733164754852        0.48603684375031847        
Zeropoint     AB|DECam|DECam_z          7674.339283624626     All      0.36014593775244186        -0.02375133791296946      0.3360628619585173         -0.11005103048113826       
Zeropoint     AB|DECam|DECam_i          6548.892882442825     All      0.9721498994641387         -0.05840239920260615      0.054170575728615895       -0.3332674038410178        
Zeropoint     AB|DECam|DECam_r          5390.589448556917     All      0.48312653439660147        0.4228622241271296        -0.4983394282932234        -0.0418686683862031        
Check         All|All|All               All                   All      0.9965844360765805         0.9988819673527161        0.002271341041458319       0.0008497410419593607      
Lambda        AB|DECam|DECam_g          4055.8977722797895    All      -0.0007279375890567882     0.00043848223219800997    -0.0008939403121153182     0.0003400488594446253      
Lambda        AB|DECam|DECam_z          7674.339283624626     All      -0.00011456024569238728    2.735141476691886e-06     -0.00015867591253655375    3.1125989300186094e-05     
Lambda        AB|DECam|DECam_i          6548.892882442825     All      -0.0003747307848629831     3.7605553682251205e-06    -0.0002781948978031444     0.00011087252092253336     
Lambda        AB|DECam|DECam_r          5390.589448556917     All      0.000150495031192782       0.000101007237806884      -0.0005535651917506521     -4.0822874480696206e-05    
MWEBV         All|All|All               All                   All      -0.5133358255782037        -3.2695866958942332       0.09620634221094883        -0.8935083392290325        
Redshift      All|All|All               All                   All      7.311919548784997          -1.1738572008795245       2.165191317005347          -2.667474117014589         
