#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5816.073198280712    All      0.8151787498170728         0.2210304013837039        -0.4081283926186341        -0.21174655968147293      
Zeropoint     AB|PS|PS_i                7044.524269064718    All      1.0893942042875864         -0.2303414784125657       0.216648217604698          -0.4202133149473318       
Zeropoint     AB|PS|PS_z                8095.877297157654    All      0.19047215168997317        -0.060578337538252924     0.0498811834236057         -0.07954943553719614      
Zeropoint     AB|PS|PS_g                4579.830003337984    All      -1.0961502209330967        1.0672385129671724        0.14003883097706282        0.7109361738580218        
Check         All|All|All               All                  All      0.9988948848615358         0.9973490984000577        -0.0015601606132675805     -0.0005731363079790608    
Lambda        AB|PS|PS_r                5816.073198280712    All      -3.34905105752978e-05      -7.004910768525619e-05    -0.00024033989447138078    -2.263360346988194e-05    
Lambda        AB|PS|PS_i                7044.524269064718    All      -0.0007736510983907762     0.00011596974045115068    -0.0009634593590933408     0.00024678400867952417    
Lambda        AB|PS|PS_z                8095.877297157654    All      -2.5533785084427984e-05    3.424066073730599e-05     0.00020308739625660095     2.853336127325352e-05     
Lambda        AB|PS|PS_g                4579.830003337984    All      -0.00015177516081974266    3.063866453533988e-05     -0.0005249773778051264     3.5990854917192255e-05    
MWEBV         All|All|All               All                  All      -0.6840811652469543        -3.8306843391461953       -0.006379803517730931      -1.0252368752381662       
Redshift      All|All|All               All                  All      6.516468007123696          -0.18274463981029498      6.25069631747559           -1.9032140884168844       
