#Format:      
#Parameter    MagSys|Instrument|Band             RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_R    3931.414013689783     All      -0.48981547177214596      0.19151060592363933       0.889742917617431         0.2616354584395353        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F675W      4038.340137826752     All      -2.6607356770962176       0.22125687316894016       -2.0277859605004167       0.8482690142269058        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W      4835.6442690648555    All      3.368484057258761         0.14421534707551587       0.3344408711153046        -1.0353258341499831       
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_I    4837.773888308522     All      0.7924307047576503        0.44146545808416704       0.8276226029387379        -0.07738793161917792      
Check         All|All|All                        All                   All      1.0103636131480473        0.9984482842522624        0.02402043117105679       -0.002809293102719962     
Lambda        Linear_AB11_off|CFH12K|CFH12K_R    3931.414013689783     All      -0.000423423460269009     0.00016084436875054867    0.0007403224159029426     0.00022335244299617619    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F675W      4038.340137826752     All      -0.0024397426191403748    0.0003031188075455469     -0.0010926944728802972    0.0008446782683717657     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W      4835.6442690648555    All      0.002016979019803532      -9.116989814994669e-05    -0.0011283559008489527    -0.0007370468001204512    
Lambda        Linear_AB11_off|CFH12K|CFH12K_I    4837.773888308522     All      -0.0003382223573359152    3.2118937455806464e-05    0.00022661103104036292    0.00013074495310887667    
MWEBV         All|All|All                        All                   All      0.013519528060082386      -2.027005951558003        0.030734151022038247      -0.6632947560026276       
Redshift      All|All|All                        All                   All      2.4063462745889876        0.16358784260788184       -2.2239392626824395       -0.8297844009669708       
