#Format:      
#Parameter    MagSys|Instrument|Band             RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_R    3931.414013689783     All      -0.5024188838723429        0.17396743322812824       0.7236731564554338         0.25261548519050997       
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F675W      4038.340137826752     All      -2.618519691071458         0.3288216352668627        -1.070401098353561         0.9122789497927957        
Zeropoint     VEGAHST|WFPC2PC|WFPC2PC_F814W      4835.6442690648555    All      3.5614964247123386         0.1477298597770016        0.31439048779754886        -1.0979462762563756       
Zeropoint     Linear_AB11_off|CFH12K|CFH12K_I    4837.773888308522     All      0.5539732388949706         0.3466971773004701        0.016768380642816612       -0.06676833662750316      
Check         All|All|All                        All                   All      0.9945310886635087         0.9972161055724627        -0.0155690734577617        0.00017982209942689342    
Lambda        Linear_AB11_off|CFH12K|CFH12K_R    3931.414013689783     All      -0.00044393902999057726    0.00015619937640913085    0.0006542057497608377      0.00022467902088499768    
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F675W      4038.340137826752     All      -0.0024034517140827005     0.00030441527601185914    -0.000968900553616406      0.0008388037831430333     
Lambda        VEGAHST|WFPC2PC|WFPC2PC_F814W      4835.6442690648555    All      0.0017312345932129628      -6.27970495822707e-05     -0.0010249224450743235     -0.000630112709371471     
Lambda        Linear_AB11_off|CFH12K|CFH12K_I    4837.773888308522     All      -5.560381962385985e-05     -3.446432278207673e-05    -1.3095700130366853e-05    6.301428639714285e-06     
MWEBV         All|All|All                        All                   All      0.009972431659092784       -2.02780085570069         0.01688647280440118        -0.66301623471843         
Redshift      All|All|All                        All                   All      2.5460198920822625         0.2893077037079195        -2.041623701192377         -0.8261936923249833       
