#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LCOGT
@BAND  LCOGT_V
@MAGSYS  Linear_AB11_off
57320.96668  15.546  0.031
57323.21889  15.459  0.025
57323.22007  15.45  0.028
57331.06071  15.564  0.025
57337.24262  15.828  0.027
57337.24381  15.768  0.031
57340.2201  15.986  0.026
57340.22133  16.431  0.032
57342.5267  16.009  0.032
57348.90248  16.465  0.031
57351.81678  16.678  0.034
57372.11608  17.307  0.03
57372.1176  17.38  0.032
57376.84516  17.468  0.042
57382.85615  17.504  0.05
57382.85767  17.584  0.048
57400.43745  17.928  0.039
57405.43639  18.129  0.047
