#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4622.610896841933    All      -0.12139042526113128       0.027268819954606727       -0.41461711272962953       0.029920749437061488       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4292.145158047073    All      -0.8277072409125237        0.6407100499105312         0.7944158777771259         0.5137629531200395         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4293.314047389093    All      -0.33322653517731315       0.11439038832463666        -0.6269502577018777        0.11782564762110508        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5380.314731626252    All      0.3691317162289059         0.14788704128587682        0.11217829761117523        -0.06706066715644889       
Zeropoint     AB|CNIa02|SDSS_i                      7342.112077853155    All      0.3675247054254171         -0.0637770417831085        0.13645433837681845        -0.1343998380621829        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6093.616252000641    All      0.1787253493862777         0.0018954151226324711      0.2176247501053388         -0.04788773403883186       
Zeropoint     AB|CNIa02|SDSS_r                      6054.477412762343    All      0.9160066475101001         -0.10998458848847648       -0.2434049433606632        -0.34506114437752033       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5369.699406584494    All      0.4484736578439129         0.23842824208744062        0.024225968558660504       -0.06733760848988136       
Check         All|All|All                           All                  All      0.9975378750436455         0.9968183264141395         -7.308136305163651e-05     -0.00023764194665933103    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4622.610896841933    All      -5.901599198501602e-05     1.3226036791528617e-05     -0.00020549123154481205    1.4361475587917064e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4292.145158047073    All      -9.227347314187415e-05     2.8002016294628357e-05     -0.00019695885005551286    3.0388314976839496e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4293.314047389093    All      -0.0002538795083101517     4.3342035192033653e-05     -0.0007675263504888747     6.256365911570343e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5380.314731626252    All      5.204961835124862e-05      -3.289391842164491e-06     -0.0003588476067021726     -3.403945677902631e-05     
Lambda        AB|CNIa02|SDSS_i                      7342.112077853155    All      -7.922731252670831e-05     -4.8506099396309476e-06    -0.00019726452034847072    1.5423929413464777e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6093.616252000641    All      -2.3750625543365338e-05    -1.6492060252321846e-07    -2.8954147683518332e-05    6.390549416351827e-06      
Lambda        AB|CNIa02|SDSS_r                      6054.477412762343    All      -0.00011938113627027513    -8.3551860428604e-06       -0.00020367783713220287    2.707559822159705e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5369.699406584494    All      1.3656383095315717e-05     -3.428874980502518e-05     -0.0006854343057406285     -4.620509211296646e-05     
MWEBV         All|All|All                           All                  All      -0.8889983920437272        -3.995221540787508         0.03487707798299249        -1.0102426674462903        
Redshift      All|All|All                           All                  All      4.545876573952815          -0.4396144988355388        3.2259781581944287         -1.479977871373198         
