#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4622.610896841933    All      -0.2113727552156789        0.07063876709185735        -0.5248929196826069        0.06843687045961534        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4292.145158047073    All      -0.7759800075002004        0.5642946231972701         0.5398572878121621         0.4606628922240185         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4293.314047389093    All      -0.4042725604834394        0.17378083662134003        -0.45646544473143535       0.1679210525005123         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5380.314731626252    All      0.39908936540953643        0.1443160535327337         0.2291442548160605         -0.07276239380032655       
Zeropoint     AB|CNIa02|SDSS_i                      7342.112077853155    All      0.42133125953991574        -0.06817138099002307       0.212268886746525          -0.14997452867936967       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6093.616252000641    All      0.24779283600859495        -0.0019607807164589985     0.27782266307210257        -0.06895502015771202       
Zeropoint     AB|CNIa02|SDSS_r                      6054.477412762343    All      0.8589523344557602         -0.10819258988341574       -0.30915840922817184       -0.3288272398708259        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5369.699406584494    All      0.4621647796527143         0.22210072667174785        0.03290811320242337        -0.07672822197792653       
Check         All|All|All                           All                  All      0.997705251867203          0.9968062555250512         0.0014844320070594996      -0.00022658930201455152    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4622.610896841933    All      -0.00010696386460812603    3.34305491919315e-05       -0.0001957135880334166     3.699728085976529e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4292.145158047073    All      -5.3911265400141675e-05    -7.223861673284088e-06     -0.0002366041103602327     4.649068601793392e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4293.314047389093    All      -0.00025799697210522935    5.869652308529425e-05      -0.0006139118356578043     7.576142465974085e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5380.314731626252    All      0.00010896018205033633     -1.1201138350220167e-05    -0.00016518334336075105    -4.6511869199016096e-05    
Lambda        AB|CNIa02|SDSS_i                      7342.112077853155    All      -0.00010969415216901381    -1.2971466638890751e-05    -0.00034509867331295813    1.6105591949917847e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6093.616252000641    All      -6.884153805297109e-05     9.278184189023193e-06      -6.822321763792948e-05     2.240167473146513e-05      
Lambda        AB|CNIa02|SDSS_r                      6054.477412762343    All      -0.00015571666164004388    -2.0235541442057552e-05    -0.00023268625350960414    3.37469392401207e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5369.699406584494    All      1.0005867827098374e-05     -5.079566069823384e-05     -0.0007610958983469369     -5.376927250777283e-05     
MWEBV         All|All|All                           All                  All      -0.8979449928304795        -3.994379001186932         0.021090630142484024       -1.0076692482172418        
Redshift      All|All|All                           All                  All      4.861684024565536          -0.12707162634111313       4.027970087744559          -1.4452520354676368        
