#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3651.5798612081853    All      -1.0568970705032759       0.3628871767457298         -0.4953440976362522        0.44036550679897035        
Zeropoint     AB|SDSS|SDSS_r            4771.523263074557     All      0.5408631981580987        0.3860893911756591         -0.7381692739130585        -0.08335602524707775       
Zeropoint     AB|SDSS|SDSS_z            6879.435416631979     All      0.27721574402057314       0.06190582003355871        0.9794096140586461         -0.02642697291888596       
Zeropoint     AB|SDSS|SDSS_i            5786.305933808619     All      1.2347033824999685        0.18807537713385614        0.26576183724795754        -0.32906144418994865       
Check         All|All|All               All                   All      0.9958852541753649        0.9989577650888037         0.011658079757292938       0.0015210644430579956      
Lambda        AB|SDSS|SDSS_g            3651.5798612081853    All      -0.0020293257249572837    0.0006388046707180732      -0.0020778583469850966     0.000776372573986449       
Lambda        AB|SDSS|SDSS_r            4771.523263074557     All      -8.36635417539403e-05     9.158214821629396e-06      -0.00048134499261414206    8.754883578968151e-06      
Lambda        AB|SDSS|SDSS_z            6879.435416631979     All      -7.933648372884138e-05    -1.7035709855475817e-05    -0.0002449460426658557     9.362594797440821e-06      
Lambda        AB|SDSS|SDSS_i            5786.305933808619     All      0.00018476091549559406    4.524836287306786e-05      0.0006814058261064348      -1.5035815780437994e-05    
MWEBV         All|All|All               All                   All      -0.510679755943837        -2.869331569742961         0.2521434657683841         -0.7570384882699857        
Redshift      All|All|All               All                   All      4.517552925062568         -1.0446360413961742        -2.996139832055089         -1.9454918968893453        
