#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3651.5798612081853    All      -1.0586286814159256        0.3933833592091318         -0.19130037482036713       0.4644312342914226        
Zeropoint     AB|SDSS|SDSS_r            4771.523263074557     All      0.7841769759049806         0.40672331340445567        0.29973801007347334        -0.10957314499037757      
Zeropoint     AB|SDSS|SDSS_z            6879.435416631979     All      0.18590732683873804        0.029691573115186998       0.4130623608690496         -0.03245153429462255      
Zeropoint     AB|SDSS|SDSS_i            5786.305933808619     All      1.085755609843383          0.16927425165924603        -0.5148131110742373        -0.32150187439782         
Check         All|All|All               All                   All      0.9972112311711759         0.9990724973880205         0.006686885047918478       0.0009046806086024373     
Lambda        AB|SDSS|SDSS_g            3651.5798612081853    All      -0.0017339099384061718     0.0005376126509185849      -0.0018879449884021452     0.0006556593244018446     
Lambda        AB|SDSS|SDSS_r            4771.523263074557     All      -0.00011563053721262851    -2.9877159497270628e-05    -0.0007273094656026051     -4.523784714071339e-06    
Lambda        AB|SDSS|SDSS_z            6879.435416631979     All      -8.703255174416009e-05     -1.4933487277341e-05       -0.00019336715916160808    1.4855949075465405e-05    
Lambda        AB|SDSS|SDSS_i            5786.305933808619     All      -0.00015775696004150072    -3.0692479037689416e-05    0.0002757984738641085      5.369670095218051e-05     
MWEBV         All|All|All               All                   All      -0.5741295394734736        -2.8644503024516155        0.13671051432919568        -0.7399320594511538       
Redshift      All|All|All               All                   All      4.567085766840869          -0.7888357649090239        -2.4750604874510356        -1.8550504294888224       
