#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.870790033016     All      0.3991698542119927         -0.011088062118602693      -0.010216869530665917      -0.13409043239618784       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5352.276197851812     All      0.37818797202785576        0.18904205595582368        -0.023557106601845845      -0.06266229305422963       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.894571999713     All      0.26493229309098765        0.15564499640632334        -0.14232040851176464       -0.04194957415334724       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6349.551220932175     All      0.5940053774382393         -0.010981941509768944      0.06991511240581616        -0.193944282914792         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7871.075441905598     All      0.17443046421475733        -0.01696926341985261       0.10916582062412417        -0.057473618960620504      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3598.0022910100733    All      -0.24645128516791406       0.12679224987053317        -0.00857111696221935       0.12119520912528443        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.955355612086     All      0.1259809128222809         -0.013431787370965509      0.07579353859790139        -0.04202898547405014       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4364.999890689603     All      -0.40459714619969694       0.32176527626894824        -0.14913342961211384       0.2299449975934155         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.699185508462     All      -0.2878253106174423        0.25573141396817434        0.07988410494430553        0.1806191683918523         
Check         All|All|All                                     All                   All      0.9978331318210604         0.996504938050613          0.0009596453535376526      -0.00038981184267516955    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.870790033016     All      -9.585004101929012e-05     -1.9144073596114276e-07    -7.237838976735949e-05     2.792923807335529e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5352.276197851812     All      3.489754698717902e-05      1.6749906258629306e-05     -0.0005666368128735229     -3.119768211473041e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.894571999713     All      1.597476021624003e-05      1.7482226512498082e-05     -0.00036880613547616106    -1.5967092594128997e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6349.551220932175     All      -0.0001265928565554789     7.439664087605975e-07      -8.870199423632248e-05     3.75194298872519e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7871.075441905598     All      -9.04947154555555e-06      1.108904204909654e-06      6.06533794775098e-06       3.5795853580804855e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3598.0022910100733    All      -0.0003671820236887958     0.00016462689719532643     -0.00017410636556550307    0.00016545809407219817     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.955355612086     All      -7.341578477752768e-06     -1.2173452539539826e-07    -1.1908384376172972e-05    1.8203241996161802e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4364.999890689603     All      -0.000223066839551253      4.2239625466938747e-05     -0.0008040700332565133     5.053709135571642e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.699185508462     All      -0.00011479412518063845    5.303589613645963e-05      -0.00022931146803669962    4.443464175767761e-05      
MWEBV         All|All|All                                     All                   All      -1.0139612706670666        -3.954323247038527         0.04971498624453119        -0.9555540792364688        
Redshift      All|All|All                                     All                   All      4.532715038345392          -0.34770996921080766       2.5456931415486217         -1.4761123932130418        
