#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.870790033016     All      0.4664457930688848         -0.037806662511652434      -0.15888803492241657       -0.17134205744785289       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5352.276197851812     All      0.3354299895299785         0.19816909020873297        -0.040411005772335265      -0.046513748244969205      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.894571999713     All      0.2862429490130757         0.19305008706229643        -0.02040799650604901       -0.03126669624498631       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6349.551220932175     All      0.5826722026437279         -0.021920828067756304      0.12090052401702188        -0.19154060551177599       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7871.075441905598     All      0.17310466056763996        -0.022180309883701455      0.10969566300913608        -0.05871552593455693       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3598.0022910100733    All      -0.23322240746040787       0.12145012704873892        -0.002306165887138524      0.11542559927772275        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.955355612086     All      0.15664620451493325        -0.02127172042918346       0.09309527547218771        -0.053799306906979476      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4364.999890689603     All      -0.41308660193046576       0.3067191475286002         -0.13204252819982884       0.22857196192042004        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.699185508462     All      -0.358750865712966         0.280888233489307          0.030768374134832452       0.20972454933509613        
Check         All|All|All                                     All                   All      0.9954819242344004         0.9970971644453819         0.0004041053454098831      0.0005441702421181138      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6473.870790033016     All      -0.0001554948812393992     -1.0566417391490066e-05    -0.00034107459916829383    3.198737581819312e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5352.276197851812     All      3.76972967739416e-05       1.4924233534411688e-05     -0.0005363461202887238     -3.135259990849677e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5332.894571999713     All      1.5272471538804557e-05     1.1892751413674528e-05     -0.0005150355760699375     -2.4084558321404387e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6349.551220932175     All      -0.00017953222825323908    -2.035645207609189e-06     -0.0002653052982352713     4.5977119605015545e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7871.075441905598     All      8.11889127225153e-06       1.1930225809495182e-06     4.655395761149487e-05      -1.7849397346163348e-07    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3598.0022910100733    All      -0.00038184122298308664    0.00016192825351303442     -0.00021251654161766797    0.00016763997077996761     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7804.955355612086     All      -4.802722178588073e-07     7.986324001127914e-07      1.1392194860222461e-05     9.24962642938787e-07       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4364.999890689603     All      -0.00019102998894622906    5.122383632114998e-05      -0.0005611706110789555     5.386757379464564e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4329.699185508462     All      -0.00013859099962871087    6.130965170028596e-05      -0.0002539810360113624     5.3780211529459344e-05     
MWEBV         All|All|All                                     All                   All      -0.9774677763537047        -3.9733475225842696        0.05220253879292334        -0.9735270353146367        
Redshift      All|All|All                                     All                   All      4.314980308395732          -0.2552327464099946        0.5603430095453309         -1.4636632125400708        
