#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5229.2206705661365    All      0.12647145146205724       0.6374651662781616         -1.0731593597706728       0.11855729072557729        
Zeropoint     AB|DECam|DECam_z          7444.6058261051185    All      0.46956362859051          -0.08588037882049093       0.43909143740269746       -0.16133175260157376       
Zeropoint     AB|DECam|DECam_i          6352.8499725315105    All      1.0862414034376215        -0.04551730022122058       0.25173138582897847       -0.3574174279479714        
Zeropoint     AB|DECam|DECam_g          3934.4833567665596    All      -0.6883345944347707       0.4916270271003498         0.3726922540571655        0.4009838633032418         
Check         All|All|All               All                   All      0.993941889055418         0.9976945143367999         -0.009644282481831301     0.0007919734792739552      
Lambda        AB|DECam|DECam_r          5229.2206705661365    All      -0.0001375079880930107    7.367435040926519e-05      -0.0014000845458217322    6.309692418468583e-06      
Lambda        AB|DECam|DECam_z          7444.6058261051185    All      -7.141400563377699e-05    -1.2985094971369617e-05    -0.0007165958121691942    -1.2946161434779235e-05    
Lambda        AB|DECam|DECam_i          6352.8499725315105    All      -0.0004322362781452228    -4.316593593611978e-06     -0.0009368392693062071    9.758068555591546e-05      
Lambda        AB|DECam|DECam_g          3934.4833567665596    All      -0.0006324150479273456    0.0004185131758713816      0.00026028317558301486    0.00035393713969172647     
MWEBV         All|All|All               All                   All      -0.4897890041496744       -3.1328012924007           0.036598430992245974      -0.8592828349202241        
Redshift      All|All|All               All                   All      5.870146101423407         0.36437669566637965        2.680678906302255         -1.6737838422129052        
