#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5229.2206705661365    All      0.16905149976599737        0.5832307116936164        -0.844336966991166        0.09723291447877175        
Zeropoint     AB|DECam|DECam_z          7444.6058261051185    All      0.4380736584503241         -0.07766536453353012      0.3849991062350844        -0.1508124252213836        
Zeropoint     AB|DECam|DECam_i          6352.8499725315105    All      1.1134614856699092         -0.019908373071864105     0.20612926183203317       -0.3599772475149136        
Zeropoint     AB|DECam|DECam_g          3934.4833567665596    All      -0.726639901843386         0.5125442996895657        0.2422956849784108        0.41445560598534004        
Check         All|All|All               All                   All      0.9939467420428448         0.9982012737777879        -0.010912913945637648     0.0008988477278145668      
Lambda        AB|DECam|DECam_r          5229.2206705661365    All      -0.0001291453035991003     6.595858749819576e-05     -0.0014123651053555397    5.243881640348933e-07      
Lambda        AB|DECam|DECam_z          7444.6058261051185    All      -0.00010084440329005246    -5.952235588728887e-06    -0.0007637966935426717    -3.1752375615708357e-06    
Lambda        AB|DECam|DECam_i          6352.8499725315105    All      -0.0005812413145597967     -3.447969350198841e-06    -0.001253282869764149     0.0001322780430136513      
Lambda        AB|DECam|DECam_g          3934.4833567665596    All      -0.0006108034887038311     0.000391969201822335      0.00010734807719652451    0.0003314265071993779      
MWEBV         All|All|All               All                   All      -0.4940746888867098        -3.130066956559574        0.037738784945262616      -0.8569452945066329        
Redshift      All|All|All               All                   All      6.306033894895557          0.1985318247399448        5.036186316245727         -1.7646724901726216        
