#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7990.982576227659    All      0.28902025608981347        -0.04889925718849497       0.5578469759990323         -0.08517735425616971      
Zeropoint     AB|PS|PS_i                6953.251466851232    All      1.1617190791574488         -0.09760957096212053       2.6523473728455205         -0.2918426905666883       
Zeropoint     AB|PS|PS_g                4520.491160557397    All      -0.7771738378186213        0.9817978142290684         2.358588838364728          0.678207922769921         
Zeropoint     AB|PS|PS_r                5740.716896221111    All      0.3080741678134059         0.16124444460388077        -5.718164093479894         -0.3030026723180035       
Check         All|All|All               All                  All      0.9816396652420469         0.9965334306823337         -0.14938090627061307       -0.0018147943709404535    
Lambda        AB|PS|PS_z                7990.982576227659    All      2.149499367491852e-06      -4.2628711947638165e-05    -0.0003349744484653619     -2.953410773774743e-05    
Lambda        AB|PS|PS_i                6953.251466851232    All      -0.0008266708135482789     8.49358819450212e-05       -0.0021528365732400912     0.000200869083048667      
Lambda        AB|PS|PS_g                4520.491160557397    All      -0.00012706430633550614    -5.1810497519613954e-05    -0.0010899150037423093     -2.412525951035967e-05    
Lambda        AB|PS|PS_r                5740.716896221111    All      -0.00012729710919916052    -1.2974911525656331e-05    -0.00039186429310811115    1.9751397237033538e-05    
MWEBV         All|All|All               All                  All      -0.5889296958465926        -3.7638118513248386        0.44115876272359245        -1.0144766791482456       
Redshift      All|All|All               All                  All      5.594804188852686          0.4944591574588486         20.588034945414744         -0.7426007309029373       
