#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7990.982576227659    All      0.4234328372816658         -0.08585876193976105      1.0244518471033235        -0.12017644826328062       
Zeropoint     AB|PS|PS_i                6953.251466851232    All      1.193625884403798          -0.11874626140677691      2.864881950191569         -0.29963626014147554       
Zeropoint     AB|PS|PS_g                4520.491160557397    All      -0.7598157760218744        0.9627663140484799        2.3253695464490147        0.6648722208253647         
Zeropoint     AB|PS|PS_r                5740.716896221111    All      0.13118817232884084        0.23525908624009162       -6.3383199017211425       -0.24895078587118757       
Check         All|All|All               All                  All      0.98843111799243           0.9934203769420336        -0.12361655797723525      -0.003891273450579047      
Lambda        AB|PS|PS_z                7990.982576227659    All      -3.9623154108732946e-05    2.215516252578561e-05     0.00033839898464440795    3.522442264846985e-05      
Lambda        AB|PS|PS_i                6953.251466851232    All      -0.000978718651178156      8.439552175590696e-05     -0.002718765822524862     0.00022496522972252666     
Lambda        AB|PS|PS_g                4520.491160557397    All      -0.00010867875239233603    -4.962479903457215e-05    -0.0009531049265885543    -2.3296879995071033e-05    
Lambda        AB|PS|PS_r                5740.716896221111    All      -7.409860061121424e-05     -4.457329027339363e-05    0.0002126915026217852     1.910880983615804e-05      
MWEBV         All|All|All               All                  All      -0.5906698162929889        -3.769511750768828        0.3899731003365954        -1.0180506904657087        
Redshift      All|All|All               All                  All      6.45749534807571           0.46687442021760006       18.675282270512472        -1.1179502465139743        
