#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.6919470688135    All      -0.8523285244558947        0.655691525167601         0.22664221189047096       0.5013257435350131         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5402.910836302687     All      -0.05718195337063947       0.7311869888514622        -0.6725442678952143       0.22678513925747795        
Zeropoint     AB|CNIa02|SDSS_i                      7387.522820763217     All      0.7116085684139236         -0.20586995153673016      0.6821157196688632        -0.26841324637003894       
Zeropoint     AB|CNIa02|SDSS_r                      6091.924173902787     All      1.1933514396590432         -0.18341076220966812      -0.23247527049244932      -0.45883104688149084       
Check         All|All|All                           All                   All      0.9954495302464325         0.9975978002726649        0.003738393171670573      0.00086658954096136        
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.6919470688135    All      -0.00036071847367811106    0.00019951923685008086    -0.0002559807128947825    0.00017106461005264063     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5402.910836302687     All      -0.0001866830598849074     0.00014522675531762519    -0.0012859823132372204    5.0726461983398506e-05     
Lambda        AB|CNIa02|SDSS_i                      7387.522820763217     All      -0.00010137105582193914    5.521920009496505e-05     -0.0007578103517691904    1.7189002516131954e-05     
Lambda        AB|CNIa02|SDSS_r                      6091.924173902787     All      -6.430509553172376e-05     3.5762369458892896e-05    -0.0012734336197602115    -2.4232228311574054e-05    
MWEBV         All|All|All                           All                   All      -0.8585187050929846        -4.0479777152201635       0.05723001367342606       -1.0363578170208207        
Redshift      All|All|All                           All                   All      6.550923662828303          -1.7418154244329465       11.220399744755872        -2.200503036556904         
