#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.6919470688135    All      -0.901087811560529         0.651325087009802         0.2264375386402815        0.5157768212912214         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5402.910836302687     All      -0.0027599115277519015     0.7560341066858101        -0.6631275784424975       0.21757183712278172        
Zeropoint     AB|CNIa02|SDSS_i                      7387.522820763217     All      0.6459895204221712         -0.20922254894699677      0.5076865637750236        -0.25591498701367743       
Zeropoint     AB|CNIa02|SDSS_r                      6091.924173902787     All      1.2531021029280247         -0.19971136432754832      -0.07335720576828124      -0.4765027376045041        
Check         All|All|All                           All                   All      0.9952439002619149         0.9984252804210669        -0.002360681795473593     0.0009309337958215425      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.6919470688135    All      -0.0004205948514248321     0.0002373921105423522     -0.0002559115810395291    0.0002029078421383612      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5402.910836302687     All      -0.00011999637489341417    0.0001445808678395715     -0.0013178591916138886    2.7371509277486298e-05     
Lambda        AB|CNIa02|SDSS_i                      7387.522820763217     All      -5.753353902947012e-05     4.247194708251683e-05     -0.000604323353738379     5.606901188869389e-06      
Lambda        AB|CNIa02|SDSS_r                      6091.924173902787     All      -1.898146661565875e-05     3.3489378876514266e-05    -0.0011054386001067289    -3.2239167010569654e-05    
MWEBV         All|All|All                           All                   All      -0.8563155397143567        -4.0513852791550065       0.06859604659811812       -1.037678202298602         
Redshift      All|All|All                           All                   All      6.147787634687465          -1.9677103325628664       10.335808328615803        -2.1822450248306082        
