#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6483.6186252692405    All      0.11078195715019767       0.025467814759139173      0.13900259673819113       -0.02158657545209326       
Zeropoint     AB|SDSS|SDSS_g            3441.481715570555     All      -1.2052956687421796       0.18206426356535133       -2.2583893684904885       0.35112722763007626        
Zeropoint     AB|SDSS|SDSS_r            4496.9877941701225    All      1.5122507362564406        0.5838778492901042        6.562819576689926         -0.009533096078116018      
Zeropoint     AB|SDSS|SDSS_i            5453.383693848906     All      0.5654304804713657        0.20653194094144567       -4.635510721501874        -0.3237666151060837        
Check         All|All|All               All                   All      0.9831675051358241        0.9979418685560404        -0.19207791656424522      -0.003759059006216703      
Lambda        AB|SDSS|SDSS_z            6483.6186252692405    All      -2.115018024413213e-05    -5.349557901745041e-06    -4.591983802899758e-05    3.09759105290372e-06       
Lambda        AB|SDSS|SDSS_g            3441.481715570555     All      -0.0014913234123369967    0.00020724283400298853    -0.004330181830791649     0.00036004278030017244     
Lambda        AB|SDSS|SDSS_r            4496.9877941701225    All      -0.000528021101059881     -0.000204706640636554     -0.0023137808800916884    2.060742622399247e-06      
Lambda        AB|SDSS|SDSS_i            5453.383693848906     All      7.055370737180794e-05     2.360330554557077e-05     7.317531653029587e-05     -1.2027812202471218e-05    
MWEBV         All|All|All               All                   All      -0.8103259325629353       -2.6311724857770002       -0.7800326110482257       -0.6279188993249746        
Redshift      All|All|All               All                   All      7.041662849355648         1.121344414145753         17.139769681286385        -1.163573286278065         
