#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6483.6186252692405    All      0.028753360063827067       0.007106340244078524      0.016114211892848118      -0.006332043254211189     
Zeropoint     AB|SDSS|SDSS_g            3441.481715570555     All      -1.0925410533754583        0.15525465324639498       -1.3812223016309577       0.344810505308929         
Zeropoint     AB|SDSS|SDSS_r            4496.9877941701225    All      1.3778254336535813         0.6075506129473496        3.0859195919156868        -0.11319343212175328      
Zeropoint     AB|SDSS|SDSS_i            5453.383693848906     All      0.6767290012135139         0.22770221030246063       -1.8025271317680058       -0.22670130552549517      
Check         All|All|All               All                   All      0.9907667415554642         0.9976138167402837        -0.08171562959042866      -0.0014162755925306858    
Lambda        AB|SDSS|SDSS_z            6483.6186252692405    All      5.8676199608003925e-05     1.2445664526266317e-05    0.0006841871202357708     1.5473322602789252e-05    
Lambda        AB|SDSS|SDSS_g            3441.481715570555     All      -0.0011027479364248982     0.00016297561041721478    -0.0020888423064567953    0.0003190723618428443     
Lambda        AB|SDSS|SDSS_r            4496.9877941701225    All      -1.7496487875534334e-05    -9.426631127589866e-05    0.002982940449817401      0.00010810847499173277    
Lambda        AB|SDSS|SDSS_i            5453.383693848906     All      8.253808874835456e-05      1.9196483661970653e-05    0.0006359189234761593     7.745696231221473e-06     
MWEBV         All|All|All               All                   All      -0.8184217158988718        -2.6224253565395372       -0.4249236442899207       -0.6065857263545228       
Redshift      All|All|All               All                   All      4.56336932021963           1.130499761021042         -3.3435604720599033       -1.2674063009351124       
