#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4616.819961948327    All      -0.8801153492980804        1.0743878144897856         0.49824260869759107        0.6588802609705005         
Zeropoint     AB|PS|PS_z                8161.265349971408    All      0.34981157696893533        -0.06446938563868798       0.2583809382222461         -0.12341458438800508       
Zeropoint     AB|PS|PS_i                7101.420848403328    All      1.0555536683744773         -0.12993398296892167       0.7755692921157853         -0.35154223398160794       
Zeropoint     AB|PS|PS_r                5863.047934618596    All      0.4711082631154614         0.11925079484029766        -1.5325863498803178        -0.18300384306474507       
Check         All|All|All               All                  All      0.9963581591607934         0.9992352407224736         -0.0003935108446952995     0.0009195995361423182      
Lambda        AB|PS|PS_g                4616.819961948327    All      -0.00011247710825885025    3.958093439962021e-05      -0.00023624031158664372    3.8987986961270446e-05     
Lambda        AB|PS|PS_z                8161.265349971408    All      7.40246088056717e-05       -1.0689188589873397e-05    0.00013925946708806452     -2.1379560392338843e-05    
Lambda        AB|PS|PS_i                7101.420848403328    All      -0.00046157357086055756    2.304712846830125e-05      -0.0006430569142651207     0.00012916022868877437     
Lambda        AB|PS|PS_r                5863.047934618596    All      -0.00013203665640107738    -8.552147758016618e-05     -0.0008028693926773541     -2.067684950354603e-05     
MWEBV         All|All|All               All                  All      -0.6164595642492952        -3.8681578793756444        0.1504930777271902         -1.0524693040644053        
Redshift      All|All|All               All                  All      5.647666359201157          0.47118636103018474        10.015076325201607         -1.2392229777258474        
