#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3684.1071431541422    All      -0.5950755151986548        0.3270899822275908         -0.09227727288207976      0.29626172998091227        
Zeropoint     AB|DECam|DECam_i          5948.577701552233     All      1.066076693246495          0.0980740353840659         -0.1551154828361545       -0.3222324035866392        
Zeropoint     AB|DECam|DECam_z          6970.858182625701     All      0.5929523241431607         0.01058120330181822        0.6399527138316818        -0.16113928307700393       
Zeropoint     AB|DECam|DECam_r          4896.4520824392       All      -0.07037828020449743       0.5637659095663494         -0.3911638561037156       0.18910577898522407        
Check         All|All|All               All                   All      0.9935752219865034         0.9995111304798243         0.0013961020097319476     0.001995822302493233       
Lambda        AB|DECam|DECam_g          3684.1071431541422    All      -0.0009193720211528426     0.000438556977418203       -0.0005525601564289113    0.00041766392740725893     
Lambda        AB|DECam|DECam_i          5948.577701552233     All      -0.00024133951714412223    -3.014988343936018e-05     -8.471785961512287e-05    6.501084265064828e-05      
Lambda        AB|DECam|DECam_z          6970.858182625701     All      -0.00041627774115113135    -9.813777753680348e-06     -0.0005337147796193118    0.0001085814457946597      
Lambda        AB|DECam|DECam_r          4896.4520824392       All      -0.00031862836157994003    -0.00010745609010608962    -0.0020373341053970036    -2.2131107806364532e-05    
MWEBV         All|All|All               All                   All      -0.48314796773587343       -2.8102285181184072        0.07845241220596488       -0.754505723097823         
Redshift      All|All|All               All                   All      6.705285493323524          0.3301124099106545         6.740109127308003         -1.7758234960819783        
