#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7639.497382454285     All      0.49826017215644475        -0.0783675807278783       0.37593018115910093        -0.17105059220375446       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6367.9033596948275    All      1.2247452033507709         -0.1326313095095344       -0.3589860812832302        -0.45816208664368335       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5238.639247146279     All      0.28416232452004264        0.4888508470452635        -0.317868755162376         0.05248876321432422        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4266.771380438927     All      -1.0088512845071627        0.7202895604379478        0.30348905708517115        0.5767813829855958         
Check         All|All|All                                      All                   All      0.9983164155200958         0.9981415172457986        0.002564401798665905       5.7467352482132306e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7639.497382454285     All      -0.00012557330505891378    1.4749125813070085e-05    -0.0001853846073004166     3.7434768622744886e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6367.9033596948275    All      -0.0003716022816831493     2.8828298466715294e-05    -0.00015906590410072499    0.00012333503299285514     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5238.639247146279     All      3.255670933245995e-06      2.1623750762754546e-05    -0.001060129312192466      -4.1325614312983486e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4266.771380438927     All      -0.0004324440381303641     0.00010560209154839642    -0.00116120318836344       0.0001234401605449411      
MWEBV         All|All|All                                      All                   All      -0.8030862787486792        -3.9309466078316646       0.10728093140228712        -1.0140595574856262        
Redshift      All|All|All                                      All                   All      6.03108344111837           0.46640657881322767       2.681752833519968          -1.6929240143690252        
