#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7639.497382454285     All      0.5366297353181527         -0.06818425728329913      0.648714585476913          -0.16805866266811556       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6367.9033596948275    All      1.2481283140603208         -0.1300500352127365       -0.38308804833494264       -0.4660134892165943        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5238.639247146279     All      0.13803509430832478        0.5100361523023622        -0.4954509877235745        0.09906328100192435        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4266.771380438927     All      -0.9251860296453864        0.6869839491846719        0.23628824708921956        0.5356812601567692         
Check         All|All|All                                      All                   All      0.9976071140414121         0.9987858089909984        0.006463796507615388       0.000672389273983609       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7639.497382454285     All      -0.00013858573535938985    1.673838302017043e-05     -0.00020015726907113008    4.166207573837637e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6367.9033596948275    All      -0.0003233941041128972     2.9219153347927648e-05    -0.0001371645567449292     0.00010873671439308455     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5238.639247146279     All      -3.8925115314235155e-05    5.4688167847364e-05       -0.001230289656585577      -2.4409250746131896e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4266.771380438927     All      -0.0004756511965135714     0.00017090142580577437    -0.001055522047618659      0.0001635003588910715      
MWEBV         All|All|All                                      All                   All      -0.7797832343728688        -3.9370393873303655       0.13030703129330076        -1.0226071953323501        
Redshift      All|All|All                                      All                   All      6.079700815598749          0.06525285204883602       3.3515756240751955         -1.809538144316486         
