#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6320.3737872995325    All      3.0242379077606922        -1.1737609035165963       0.859373258599172         -1.3290764413189584       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5277.969577191395     All      -2.0450172868729717       2.213689721321188         -0.9925263450233812       1.3429090875980314        
Check         All|All|All                            All                   All      0.9792206208877211        1.0399288178045918        -0.1331530864242092       0.013832646279072991      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6320.3737872995325    All      -0.0001483346913345422    -7.233687822118674e-06    -0.0007744513455985968    1.1401032301438364e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5277.969577191395     All      -0.0005750050403573886    0.0004428109040127352     -0.0011435963538004965    0.000280502685309269      
MWEBV         All|All|All                            All                   All      -0.5719791691786638       -3.0262870703005262       -0.2645334263575716       -0.8112537395872477       
Redshift      All|All|All                            All                   All      3.5113494505419625        -0.25212871616986376      0.4524968671576701        -1.2056957967137543       
