#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6320.3737872995325    All      3.051816009988322         -0.9860018892025479        0.5580801750382823        -1.2903455749871744       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5277.969577191395     All      -2.05468396458724         1.9904731243192586         -0.5545562317854186       1.2928934479322138        
Check         All|All|All                            All                   All      0.997132045401082         1.0044712351167107         0.0035239432528637593     0.002547872945039442      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6320.3737872995325    All      -0.0010753883306531245    0.00031138760955573243     -0.0012754496261362088    0.00039480108841309327    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5277.969577191395     All      -0.0003953265084246687    -1.6113435345285313e-05    -0.0018043392172599716    4.3002801405461645e-05    
MWEBV         All|All|All                            All                   All      -0.5402818384853045       -3.0247058703753993        -0.009976913995286614     -0.8097038661587782       
Redshift      All|All|All                            All                   All      6.297365608241494         0.6175819805552152         7.494910541167152         -1.5156289522952373       
