#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5365.990067431636     All      0.23296872109381636        0.17043896474633335        0.3209374898828021         -0.00604603264936128      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6348.1421195288085    All      0.4258654198277152         -0.03961497647124723       0.16547467911767436        -0.14423790399343356      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5399.308967916613     All      0.36691264083848574        0.24890560835131303        -0.26236880386255446       -0.050147087497180026     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7920.694346957233     All      0.2435702605728675         -0.0575553567831566        0.01966003539418988        -0.09720918322704238      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8198.351310573948     All      0.11504967817650877        -0.024344637931861257      0.041744151117713735       -0.04354246495284796      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4380.522389213524     All      -0.8421157912185316        0.5429224932303356         -0.3718580732827949        0.4345582177228418        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6405.802263470758     All      0.7695469389358692         -0.11629592787039122       -0.13913771792434831       -0.2947572423980118       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4406.393985839401     All      -0.3143257048711316        0.27234781086535875        0.2263583776342191         0.20120019982813628       
Check         All|All|All                       All                   All      0.9974721633555996         0.9968039781366844         0.0008101380769014732      -0.0001814971668989418    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5365.990067431636     All      5.0610615106047394e-05     3.2179712932090884e-05     -0.0001288926602735464     -1.175543864216038e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6348.1421195288085    All      -0.00011264092804726087    5.008871084935076e-06      -9.646620796372627e-05     3.401756633262719e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5399.308967916613     All      6.052385594383433e-05      -1.3994508791166423e-05    -0.0008117167027757355     -6.049627134048096e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7920.694346957233     All      2.64597393212026e-05       2.923933003276964e-06      9.599413306927037e-05      -3.382609149001822e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8198.351310573948     All      -9.794118376826226e-06     1.9154387883607916e-06     -5.005049317538776e-06     3.5908356380078845e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4380.522389213524     All      -0.0003984109006629865     0.00014191433520197575     -0.00082970890500859       0.000138975607778106      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6405.802263470758     All      -0.00018573600827104716    -3.953397815528238e-06     -0.00031560758810060655    4.5128459571900926e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4406.393985839401     All      -7.666821759668789e-05     3.262651450745444e-05      -0.00013690121831226853    2.949161732747933e-05     
MWEBV         All|All|All                       All                   All      -0.8559904014024875        -4.0995254938677395        0.013989002652504847       -1.0559018238116804       
Redshift      All|All|All                       All                   All      3.307560834446792          0.048473526525993904       -1.7102999495787745        -1.1379147886036125       
