#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5365.990067431636     All      0.24163684406124297        0.18183839665377732       0.351257693536311          -0.0038033040368049        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6348.1421195288085    All      0.4105602960659564         -0.036445801973750136     0.1767690872645944         -0.13771619970177756       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5399.308967916613     All      0.3718966241200109         0.22696698411937          -0.31462116175027255       -0.061248449237924496      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7920.694346957233     All      0.24177910098899033        -0.05852277011535456      0.008716065279068541       -0.09742924109482493       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8198.351310573948     All      0.11059080773688167        -0.02442237457063179      0.03343416289001144        -0.042486222147095076      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4380.522389213524     All      -0.8035538358899099        0.5250044927348707        -0.3857345840914239        0.41554159303070215        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6405.802263470758     All      0.755738690772443          -0.11989042062645616      -0.17424796323576297       -0.2929970952319866        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4406.393985839401     All      -0.3346183221682988        0.30336039976948115       0.30530943440310043        0.22143521643355202        
Check         All|All|All                       All                   All      0.9940302056873166         0.9978889059913065        0.0008827342956263529      0.0012962980138406244      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5365.990067431636     All      6.518571261064516e-05      4.3110454670239506e-05    -0.00011773910426896738    -1.2444793232981819e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6348.1421195288085    All      -8.019758367708861e-05     2.2046818662770174e-06    -7.301099222510638e-05     2.3582983585839108e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5399.308967916613     All      7.779870144050316e-05      8.028155428460099e-06     -0.0008461903898241075     -6.048815290486834e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7920.694346957233     All      3.174016810773146e-05      4.5341003696805845e-07    8.361051808054805e-05      -6.459972994699779e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8198.351310573948     All      -1.0714032099814895e-05    2.4505090293924305e-06    -3.1116653352908206e-06    4.149264813769538e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4380.522389213524     All      -0.0005247059511927505     0.00021321458121398992    -0.001005776325189497      0.00019548181623966752     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6405.802263470758     All      -0.00012277828066636722    1.2442349898513893e-06    -0.00018323615037687236    3.222122575067984e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4406.393985839401     All      -0.00011911405002707754    6.909998256307997e-05     -0.00012282723658840102    5.58262870285168e-05       
MWEBV         All|All|All                       All                   All      -0.8499103713132268        -4.102389028390663        0.0157062248873574         -1.05873840529898          
Redshift      All|All|All                       All                   All      3.338675207990298          -0.5608429918249946       -0.8200861078883626        -1.3067980444938108        
